# Title:	Delay with 18 V static at n=27, 10 dB on MW Attn, AM = 1.4.
# Note:	Delay scan at n=27 with +9 V Bot, -9 V Top applied static field. 10 dB on MW Attn, 31.5 dB on PM Attn, PM = 1.4. Low-frequency Stark state of 3d3/2 -> 27f targeted.
# Type:	Delay
# Hittite Freq:	19635.40 MHz
# Hittite: Power	14 dBm
# Laser Freq:	361361.2 GHz
# Laser Mod:	NaN
# Laser Mod Attn:	31.5 dB
# MW Attn:	10.5 dB
# Delay:	1000 ns
# MW Off:	NaN
# Top w/o Static:	-90 mV
# Static:	+9 V Bot, -9V Top
# Static Off:	NaN
i	d	n	nb	s	sb
0.000	50000.000	1.000	0.000	0.059	-0.016
1.000	50667.000	1.000	0.000	0.053	-0.016
2.000	51333.000	1.000	0.000	0.067	-0.016
3.000	52000.000	1.000	0.000	0.060	-0.016
4.000	52667.000	1.000	0.000	0.067	-0.016
5.000	53333.000	1.000	0.000	0.077	-0.016
6.000	54000.000	1.000	0.000	0.073	-0.016
7.000	54667.000	1.000	0.000	0.075	-0.016
8.000	55333.000	1.000	0.000	0.085	-0.016
9.000	56000.000	1.000	0.000	0.082	-0.016
10.000	56667.000	1.000	0.000	0.068	-0.016
11.000	57333.000	1.000	0.000	0.080	-0.016
12.000	58000.000	1.000	0.000	0.075	-0.016
13.000	58667.000	1.000	0.000	0.065	-0.016
14.000	59333.000	1.000	0.000	0.069	-0.016
15.000	60000.000	1.000	0.000	0.047	-0.016
16.000	60667.000	1.000	0.000	0.057	-0.016
17.000	61333.000	1.000	0.000	0.043	-0.016
18.000	62000.000	1.000	0.000	0.062	-0.016
19.000	62667.000	1.000	0.000	0.061	-0.016
20.000	63333.000	1.000	0.000	0.042	-0.016
21.000	64000.000	1.000	0.000	0.060	-0.016
22.000	64667.000	1.000	0.000	0.057	-0.016
23.000	65333.000	1.000	0.000	0.058	-0.016
24.000	66000.000	1.000	0.000	0.063	-0.016
25.000	66667.000	1.000	0.000	0.065	-0.016
26.000	67333.000	1.000	0.000	0.066	-0.016
27.000	68000.000	1.000	0.000	0.077	-0.016
28.000	68667.000	1.000	0.000	0.068	-0.016
29.000	69333.000	1.000	0.000	0.063	-0.016
30.000	70000.000	1.000	0.000	0.081	-0.016
31.000	70667.000	1.000	0.000	0.087	-0.016
32.000	71333.000	1.000	0.000	0.083	-0.016
33.000	72000.000	1.000	0.000	0.085	-0.016
34.000	72667.000	1.000	0.000	0.071	-0.016
35.000	73333.000	1.000	0.000	0.070	-0.016
36.000	74000.000	1.000	0.000	0.065	-0.016
37.000	74667.000	1.000	0.000	0.058	-0.016
38.000	75333.000	1.000	0.000	0.058	-0.016
39.000	76000.000	1.000	0.000	0.060	-0.016
40.000	76667.000	1.000	0.000	0.060	-0.016
41.000	77333.000	1.000	0.000	0.050	-0.016
42.000	78000.000	1.000	0.000	0.050	-0.016
43.000	78667.000	1.000	0.000	0.057	-0.016
44.000	79333.000	1.000	0.000	0.059	-0.016
45.000	80000.000	1.000	0.000	0.061	-0.016
46.000	80667.000	1.000	0.000	0.064	-0.016
47.000	81333.000	1.000	0.000	0.064	-0.016
48.000	82000.000	1.000	0.000	0.070	-0.016
49.000	82667.000	1.000	0.000	0.084	-0.016
50.000	83333.000	1.000	0.000	0.081	-0.016
51.000	84000.000	1.000	0.000	0.074	-0.016
52.000	84667.000	1.000	0.000	0.074	-0.016
53.000	85333.000	1.000	0.000	0.068	-0.016
54.000	86000.000	1.000	0.000	0.090	-0.016
55.000	86667.000	1.000	0.000	0.070	-0.016
56.000	87333.000	1.000	0.000	0.067	-0.016
57.000	88000.000	1.000	0.000	0.080	-0.016
