# Title: Dye Laser Frequency Scan, Depressed Limit
# Note:	Dye laser frequency scan to find the depressed ionization limit. SFIP with 150 VDC. Short (500 ns) integration gate. Using voltage source for Bias to SFIP.
# Type:	Frequency
# Hittite Freq:	NaN
# Hittite: Power	NaN
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	MAX
# Delay:	1000 ns
# MW Off:	NaN
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
i	f	n	nb	s	sb
0	105.98	-0.0941471	-0.0927397	0.00221084	-0.0019983	
1	105.98	-0.0941471	-0.0927397	-0.00203118	-0.0019983	
2	105.78	-0.0941471	-0.0927397	0.00385503	-0.0019983	
3	105.58	-0.0941471	-0.0927397	0.00342754	-0.0019983	
4	105.38	-0.0941471	-0.0927397	0.000204924	-0.0019983	
5	105.08	-0.0941471	-0.0927397	-0.00436594	-0.0019983	
6	104.78	-0.0941471	-0.0927397	0.000467995	-0.0019983	
7	104.48	-0.0941471	-0.0927397	-0.0023929	-0.0019983	
8	104.68	-0.0941471	-0.0927397	0.00332889	-0.0019983	
9	104.48	-0.0941471	-0.0927397	-0.000518522	-0.0019983	
10	104.08	-0.0941471	-0.0927397	-0.000123915	-0.0019983	
11	103.88	-0.0941471	-0.0927397	-0.00265597	-0.0019983	
12	103.58	-0.0941471	-0.0927397	-0.00305058	-0.0019983	
13	103.38	-0.0941471	-0.0927397	0.000533762	-0.0019983	
14	103.08	-0.0941471	-0.0927397	0.00326312	-0.0019983	
15	102.78	-0.0941471	-0.0927397	-0.000781593	-0.0019983	
16	102.58	-0.0941471	-0.0927397	0.00102702	-0.0019983	
17	102.18	-0.0941471	-0.0927397	0.000435111	-0.0019983	
18	101.78	-0.0941471	-0.0927397	-0.00324788	-0.0019983	
19	101.18	-0.0941471	-0.0927397	-0.00160369	-0.0019983	
20	100.58	-0.0941471	-0.0927397	-0.0023929	-0.0019983	
21	100.08	-0.0941471	-0.0927397	-0.000485638	-0.0019983	
22	99.88	-0.0941471	-0.0927397	0.000369343	-0.0019983	
23	99.08	-0.0941471	-0.0927397	-0.00222848	-0.0019983	
24	98.58	-0.0941471	-0.0927397	0.00017204	-0.0019983	
25	97.78	-0.0941471	-0.0927397	0.00273698	-0.0019983	
26	97.28	-0.0941471	-0.0927397	4.05043E-5	-0.0019983	
27	96.78	-0.0941471	-0.0927397	-0.00153792	-0.0019983	
28	96.58	-0.0941471	-0.0927397	-0.0030177	-0.0019983	
29	95.28	-0.0941471	-0.0927397	0.000139156	-0.0019983	
30	94.38	-0.0941471	-0.0927397	0.000895485	-0.0019983	
31	93.98	-0.0941471	-0.0927397	0.00112567	-0.0019983	
32	93.38	-0.0941471	-0.0927397	-0.000288334	-0.0019983	
33	92.98	-0.0941471	-0.0927397	-0.00426728	-0.0019983	
34	91.98	-0.0941471	-0.0927397	-0.00328077	-0.0019983	
35	91.28	-0.0941471	-0.0927397	-0.00472766	-0.0019983	
36	90.28	-0.0941471	-0.0927397	-0.00420152	-0.0019983	
37	89.98	-0.0941471	-0.0927397	-0.00278751	-0.0019983	
38	89.08	-0.0941471	-0.0927397	-0.00311635	-0.0019983	
39	88.38	-0.0941471	-0.0927397	0.00240814	-0.0019983	
40	87.38	-0.0941471	-0.0927397	0.000369343	-0.0019983	
41	86.88	-0.0941471	-0.0927397	-0.00272174	-0.0019983	
42	86.18	-0.0941471	-0.0927397	-0.000255451	-0.0019983	
43	85.48	-0.0941471	-0.0927397	-0.00328077	-0.0019983	
44	84.88	-0.0941471	-0.0927397	-0.000288334	-0.0019983	
45	84.08	-0.0941471	-0.0927397	-0.00357672	-0.0019983	
46	83.58	-0.0941471	-0.0927397	-0.00242579	-0.0019983	
47	82.88	-0.0941471	-0.0927397	-0.00212983	-0.0019983	
48	82.08	-0.0941471	-0.0927397	-0.00120908	-0.0019983	
49	81.48	-0.0941471	-0.0927397	-0.00282039	-0.0019983	
50	80.88	-0.0941471	-0.0927397	-0.00699665	-0.0019983	
51	80.18	-0.0941471	-0.0927397	-0.000617173	-0.0019983	
52	79.48	-0.0941471	-0.0927397	-0.00390556	-0.0019983	
53	78.68	-0.0941471	-0.0927397	-0.00262309	-0.0019983	
54	78.08	-0.0941471	-0.0927397	-0.00331365	-0.0019983	
55	77.58	-0.0941471	-0.0927397	-0.00265597	-0.0019983	
56	76.78	-0.0941471	-0.0927397	0.00112567	-0.0019983	
57	75.68	-0.0941471	-0.0927397	-0.000978896	-0.0019983	
58	75.18	-0.0941471	-0.0927397	-0.00360961	-0.0019983	
59	74.58	-0.0941471	-0.0927397	-0.00262309	-0.0019983	
60	73.68	-0.0941471	-0.0927397	-0.000682941	-0.0019983	
61	72.58	-0.0941471	-0.0927397	-0.00291904	-0.0019983	
62	72.08	-0.0941471	-0.0927397	-0.00706241	-0.0019983	
