# Title: Diode Laser Frequency Scan, no Static, looking for MW power shift.
# Note:	Frequency Scan at n=27. No Static, no MW or PM. Looking for MW power shift.
# Type:	Frequency
# Hittite Freq:	19635.40 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	MAX
# Delay:	1000 ns
# MW Off:	20 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
i	f	n	nb	s	sb
0	-4512.82	1	0	0.0116156	0.00435487	
1	-4512.82	1	0	0.00859031	0.00435487	
2	-4512.82	1	0	0.00480867	0.00435487	
3	-4512.82	1	0	0.00980702	0.00435487	
4	-4512.82	1	0	0.00987278	0.00435487	
5	-4512.82	1	0	0.00934664	0.00435487	
6	-4512.82	1	0	0.00905069	0.00435487	
7	-4512.82	1	0	0.0117472	0.00435487	
8	-4512.82	1	0	0.00859031	0.00435487	
9	-4512.82	1	0	0.0096426	0.00435487	
10	-4512.82	1	0	0.012635	0.00435487	
11	-4512.82	1	0	0.00974125	0.00435487	
12	-4512.72	1	0	0.0119774	0.00435487	
13	-4512.72	1	0	0.00947818	0.00435487	
14	-4512.72	1	0	0.0121089	0.00435487	
15	-4512.72	1	0	0.00714342	0.00435487	
16	-4512.72	1	0	0.0126679	0.00435487	
17	-4512.72	1	0	0.0110566	0.00435487	
18	-4512.72	1	0	0.0113854	0.00435487	
19	-4512.72	1	0	0.0102016	0.00435487	
20	-4512.72	1	0	0.010103	0.00435487	
21	-4512.62	1	0	0.00911645	0.00435487	
22	-4512.62	1	0	0.00757091	0.00435487	
23	-4512.62	1	0	0.00859031	0.00435487	
24	-4512.62	1	0	0.0100043	0.00435487	
25	-4512.62	1	0	0.00885338	0.00435487	
26	-4512.62	1	0	0.0102674	0.00435487	
27	-4512.62	1	0	0.0109251	0.00435487	
28	-4512.62	1	0	0.00908357	0.00435487	
29	-4512.62	1	0	0.0135887	0.00435487	
30	-4512.62	1	0	0.0100372	0.00435487	
31	-4512.62	1	0	0.0140162	0.00435487	
32	-4512.62	1	0	0.0144765	0.00435487	
33	-4512.62	1	0	0.00895204	0.00435487	
34	-4512.62	1	0	0.0130296	0.00435487	
35	-4512.62	1	0	0.0116814	0.00435487	
36	-4512.52	1	0	0.0108922	0.00435487	
37	-4512.52	1	0	0.0121747	0.00435487	
38	-4512.52	1	0	0.00905069	0.00435487	
39	-4512.52	1	0	0.0121747	0.00435487	
40	-4512.52	1	0	0.0142135	0.00435487	
41	-4512.52	1	0	0.0110237	0.00435487	
42	-4512.52	1	0	0.0128981	0.00435487	
43	-4512.52	1	0	0.00931376	0.00435487	
44	-4512.52	1	0	0.0078011	0.00435487	
45	-4512.52	1	0	0.0132598	0.00435487	
46	-4512.52	1	0	0.0115827	0.00435487	
47	-4512.52	1	0	0.0122404	0.00435487	
