# Title: Diode Laser Frequency Scan, no Static, looking for MW power shift.
# Note:	Frequency Scan at n=27. No Static, no PM, -10 dB MW. Looking for MW power shift.
# Type:	Frequency
# Hittite Freq:	19635.40 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	10 dB
# Delay:	1000 ns
# MW Off:	20 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
i	f	n	nb	s	sb
0	-4512.32	1	0	0.00921511	0.00120788	
1	-4512.32	1	0	0.0115499	0.00120788	
2	-4512.32	1	0	0.00632133	0.00120788	
3	-4512.32	1	0	0.00684747	0.00120788	
4	-4512.32	1	0	0.00898492	0.00120788	
5	-4512.32	1	0	0.00641998	0.00120788	
6	-4512.32	1	0	0.00625556	0.00120788	
7	-4512.32	1	0	0.00457848	0.00120788	
8	-4512.32	1	0	0.00625556	0.00120788	
9	-4512.32	1	0	0.00286852	0.00120788	
10	-4512.32	1	0	0.00688035	0.00120788	
11	-4512.32	1	0	0.00727496	0.00120788	
12	-4512.22	1	0	0.0065844	0.00120788	
13	-4512.22	1	0	0.00740649	0.00120788	
14	-4512.22	1	0	0.00803129	0.00120788	
15	-4512.22	1	0	0.00599249	0.00120788	
16	-4512.22	1	0	0.00323024	0.00120788	
17	-4512.22	1	0	0.00543346	0.00120788	
18	-4512.22	1	0	0.00622267	0.00120788	
19	-4512.22	1	0	0.00549923	0.00120788	
20	-4512.22	1	0	0.00457848	0.00120788	
21	-4512.22	1	0	0.00549923	0.00120788	
22	-4512.22	1	0	0.000829717	0.00120788	
23	-4512.22	1	0	0.00329601	0.00120788	
24	-4512.22	1	0	0.00819571	0.00120788	
25	-4512.22	1	0	0.00418387	0.00120788	
26	-4512.22	1	0	0.00714342	0.00120788	
27	-4512.22	1	0	0.00273698	0.00120788	
28	-4512.22	1	0	0.00431541	0.00120788	
29	-4512.22	1	0	0.00480867	0.00120788	
30	-4512.22	1	0	0.0057623	0.00120788	
31	-4512.22	1	0	0.0049402	0.00120788	
32	-4512.22	1	0	0.00819571	0.00120788	
33	-4512.12	1	0	0.0049402	0.00120788	
34	-4512.12	1	0	0.00740649	0.00120788	
35	-4512.12	1	0	0.00987278	0.00120788	
36	-4512.12	1	0	0.00605825	0.00120788	
37	-4512.12	1	0	0.00543346	0.00120788	
38	-4512.12	1	0	0.00546634	0.00120788	
39	-4512.12	1	0	0.00615691	0.00120788	
40	-4512.12	1	0	0.00720919	0.00120788	
41	-4512.12	1	0	0.00349331	0.00120788	
42	-4512.12	1	0	0.00668305	0.00120788	
43	-4512.12	1	0	0.0111881	0.00120788	
44	-4512.12	1	0	0.00803129	0.00120788	
45	-4512.12	1	0	0.0078011	0.00120788	
46	-4512.12	1	0	0.00589383	0.00120788	
47	-4512.12	1	0	0.00921511	0.00120788	
48	-4512.12	1	0	0.0102345	0.00120788	
49	-4512.12	1	0	0.00618979	0.00120788	
50	-4512.12	1	0	0.00753803	0.00120788	
51	-4512.12	1	0	0.0088205	0.00120788	
52	-4512.12	1	0	0.00826147	0.00120788	
53	-4512.12	1	0	0.00362485	0.00120788	
54	-4512.12	1	0	0.00812994	0.00120788	
55	-4512.12	1	0	0.00720919	0.00120788	
56	-4512.12	1	0	0.0079984	0.00120788	
57	-4512.12	1	0	0.00674882	0.00120788	
58	-4512.12	1	0	0.00691323	0.00120788	
59	-4512.02	1	0	0.00789975	0.00120788	
60	-4512.02	1	0	0.0109251	0.00120788	
61	-4512.02	1	0	0.00793264	0.00120788	
62	-4512.02	1	0	0.00743938	0.00120788	
63	-4512.02	1	0	0.00332889	0.00120788	
64	-4512.02	1	0	0.00812994	0.00120788	
65	-4512.02	1	0	0.012076	0.00120788	
66	-4512.02	1	0	0.00628844	0.00120788	
67	-4512.02	1	0	0.00750514	0.00120788	
68	-4512.02	1	0	0.00720919	0.00120788	
69	-4512.02	1	0	0.010103	0.00120788	
70	-4512.02	1	0	0.0108593	0.00120788	
71	-4512.02	1	0	0.0111553	0.00120788	
72	-4512.02	1	0	0.0111553	0.00120788	
73	-4512.02	1	0	0.00306582	0.00120788	
74	-4512.02	1	0	0.0100701	0.00120788	
75	-4511.92	1	0	0.0146738	0.00120788	
76	-4511.92	1	0	0.0102674	0.00120788	
77	-4511.92	1	0	0.0101687	0.00120788	
78	-4511.92	1	0	0.0124377	0.00120788	
79	-4511.92	1	0	0.0126021	0.00120788	
80	-4511.92	1	0	0.00898492	0.00120788	
