# Title: Diode Laser Frequency Scan, no Static, looking for MW power shift.
# Note:	Frequency Scan at n=27. No Static, no PM, no MW. Looking for MW power shift.
# Type:	Frequency
# Hittite Freq:	19635.40 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	MAX dB
# Delay:	1000 ns
# MW Off:	20 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
i	f	n	nb	s	sb
0	-4512.42	1	0	0.00980702	0.000530474	
1	-4512.42	1	0	0.0119116	0.000530474	
2	-4512.42	1	0	0.00822859	0.000530474	
3	-4512.42	1	0	0.00747226	0.000530474	
4	-4512.42	1	0	0.00826147	0.000530474	
5	-4512.42	1	0	0.00987278	0.000530474	
6	-4512.42	1	0	0.00816282	0.000530474	
7	-4512.42	1	0	0.0112868	0.000530474	
8	-4512.42	1	0	0.00970836	0.000530474	
9	-4512.42	1	0	0.0142792	0.000530474	
10	-4512.42	1	0	0.0076038	0.000530474	
11	-4512.42	1	0	0.00852454	0.000530474	
12	-4512.42	1	0	0.00816282	0.000530474	
13	-4512.42	1	0	0.00829436	0.000530474	
14	-4512.32	1	0	0.0106291	0.000530474	
15	-4512.42	1	0	0.0128323	0.000530474	
16	-4512.32	1	0	0.0114841	0.000530474	
17	-4512.32	1	0	0.00921511	0.000530474	
18	-4512.32	1	0	0.00970836	0.000530474	
19	-4512.32	1	0	0.0108264	0.000530474	
20	-4512.32	1	0	0.0102016	0.000530474	
21	-4512.32	1	0	0.0131612	0.000530474	
22	-4512.32	1	0	0.00928087	0.000530474	
23	-4512.32	1	0	0.0139504	0.000530474	
24	-4512.32	1	0	0.0111881	0.000530474	
25	-4512.32	1	0	0.0108922	0.000530474	
26	-4512.32	1	0	0.010366	0.000530474	
27	-4512.32	1	0	0.0114512	0.000530474	
28	-4512.32	1	0	0.0137531	0.000530474	
29	-4512.22	1	0	0.00852454	0.000530474	
30	-4512.22	1	0	0.0088205	0.000530474	
31	-4512.22	1	0	0.00826147	0.000530474	
32	-4512.22	1	0	0.00905069	0.000530474	
33	-4512.22	1	0	0.011517	0.000530474	
34	-4512.22	1	0	0.0111881	0.000530474	
35	-4512.22	1	0	0.00523616	0.000530474	
36	-4512.22	1	0	0.0126021	0.000530474	
37	-4512.22	1	0	0.00990567	0.000530474	
38	-4512.22	1	0	0.0107935	0.000530474	
39	-4512.22	1	0	0.00908357	0.000530474	
40	-4512.22	1	0	0.0102345	0.000530474	
41	-4512.22	1	0	0.010958	0.000530474	
42	-4512.22	1	0	0.0121089	0.000530474	
43	-4512.22	1	0	0.0127008	0.000530474	
44	-4512.22	1	0	0.0121747	0.000530474	
45	-4512.12	1	0	0.00809705	0.000530474	
46	-4512.22	1	0	0.0119445	0.000530474	
47	-4512.22	1	0	0.0107935	0.000530474	
48	-4512.12	1	0	0.00878762	0.000530474	
49	-4512.12	1	0	0.0119116	0.000530474	
50	-4512.12	1	0	0.0100043	0.000530474	
51	-4512.12	1	0	0.00684747	0.000530474	
52	-4512.22	1	0	0.00931376	0.000530474	
53	-4512.22	1	0	0.0142463	0.000530474	
54	-4512.12	1	0	0.0118129	0.000530474	
55	-4512.12	1	0	0.0130954	0.000530474	
56	-4512.12	1	0	0.014904	0.000530474	
57	-4512.12	1	0	0.0100701	0.000530474	
58	-4512.12	1	0	0.0111553	0.000530474	
59	-4512.12	1	0	0.0122404	0.000530474	
60	-4512.12	1	0	0.0110895	0.000530474	
61	-4512.12	1	0	0.0129639	0.000530474	
62	-4512.12	1	0	0.00993855	0.000530474	
63	-4512.12	1	0	0.00934664	0.000530474	
64	-4512.12	1	0	0.00934664	0.000530474	
65	-4512.12	1	0	0.012931	0.000530474	
66	-4512.12	1	0	0.00684747	0.000530474	
67	-4512.12	1	0	0.0125364	0.000530474	
68	-4512.12	1	0	0.0126679	0.000530474	
69	-4512.12	1	0	0.0113197	0.000530474	
70	-4512.22	1	0	0.00970836	0.000530474	
71	-4512.22	1	0	0.00628844	0.000530474	
72	-4512.22	1	0	0.010103	0.000530474	
73	-4512.22	1	0	0.00819571	0.000530474	
74	-4512.22	1	0	0.00944529	0.000530474	
75	-4512.22	1	0	0.00885338	0.000530474	
76	-4512.12	1	0	0.00806417	0.000530474	
77	-4512.12	1	0	0.0125693	0.000530474	
78	-4512.12	1	0	0.0118129	0.000530474	
79	-4512.12	1	0	0.00569653	0.000530474	
80	-4512.12	1	0	0.0114512	0.000530474	
81	-4512.12	1	0	0.00434829	0.000530474	
82	-4512.12	1	0	0.0105305	0.000530474	
83	-4512.12	1	0	0.0106291	0.000530474	
84	-4512.12	1	0	0.00918222	0.000530474	
85	-4512.12	1	0	0.0117472	0.000530474	
86	-4512.12	1	0	0.00566365	0.000530474	
87	-4512.12	1	0	0.005565	0.000530474	
88	-4512.12	1	0	0.00743938	0.000530474	
89	-4512.12	1	0	0.00970836	0.000530474	
90	-4512.12	1	0	0.00934664	0.000530474	
91	-4512.02	1	0	0.0128652	0.000530474	
92	-4512.12	1	0	0.0140819	0.000530474	
93	-4512.02	1	0	0.0110566	0.000530474	
94	-4512.12	1	0	0.0135558	0.000530474	
95	-4512.02	1	0	0.0118787	0.000530474	
96	-4512.02	1	0	0.0203956	0.000530474	
97	-4512.02	1	0	0.0139504	0.000530474	
98	-4512.02	1	0	0.0138517	0.000530474	
99	-4512.02	1	0	0.0149698	0.000530474	
100	-4512.02	1	0	0.0192447	0.000530474	
101	-4512.02	1	0	0.025953	0.000530474	
102	-4512.02	1	0	0.0199353	0.000530474	
103	-4512.02	1	0	0.0237827	0.000530474	
104	-4512.02	1	0	0.0294387	0.000530474	
105	-4512.02	1	0	0.0231908	0.000530474	
106	-4512.02	1	0	0.0322996	0.000530474	
107	-4512.02	1	0	0.0307212	0.000530474	
108	-4512.02	1	0	0.0286824	0.000530474	
109	-4512.02	1	0	0.0255584	0.000530474	
110	-4512.02	1	0	0.0237169	0.000530474	
111	-4512.02	1	0	0.0195406	0.000530474	
112	-4511.92	1	0	0.0213164	0.000530474	
113	-4511.92	1	0	0.0238155	0.000530474	
114	-4511.92	1	0	0.0171072	0.000530474	
115	-4511.92	1	0	0.0246705	0.000530474	
116	-4511.92	1	0	0.0190474	0.000530474	
117	-4511.92	1	0	0.017469	0.000530474	
118	-4511.92	1	0	0.0215137	0.000530474	
119	-4511.92	1	0	0.0229935	0.000530474	
120	-4511.92	1	0	0.0213493	0.000530474	
121	-4511.92	1	0	0.0233223	0.000530474	
122	-4511.92	1	0	0.0231579	0.000530474	
123	-4511.92	1	0	0.0236182	0.000530474	
124	-4511.92	1	0	0.029077	0.000530474	
125	-4511.92	1	0	0.0261503	0.000530474	
126	-4511.92	1	0	0.023125	0.000530474	
127	-4511.92	1	0	0.0191132	0.000530474	
128	-4511.92	1	0	0.0260845	0.000530474	
129	-4511.92	1	0	0.0299648	0.000530474	
130	-4511.92	1	0	0.0203956	0.000530474	
131	-4511.92	1	0	0.0259859	0.000530474	
132	-4511.92	1	0	0.0220727	0.000530474	
133	-4511.92	1	0	0.028222	0.000530474	
134	-4511.82	1	0	0.0263476	0.000530474	
135	-4511.82	1	0	0.0216781	0.000530474	
136	-4511.82	1	0	0.0259201	0.000530474	
137	-4511.82	1	0	0.0208889	0.000530474	
138	-4511.82	1	0	0.0241115	0.000530474	
139	-4511.82	1	0	0.0274985	0.000530474	
140	-4511.82	1	0	0.0222371	0.000530474	
141	-4511.82	1	0	0.0314446	0.000530474	
142	-4511.82	1	0	0.0220069	0.000530474	
143	-4511.82	1	0	0.0235854	0.000530474	
144	-4511.82	1	0	0.0225002	0.000530474	
145	-4511.82	1	0	0.0270053	0.000530474	
146	-4511.82	1	0	0.0281233	0.000530474	
147	-4511.82	1	0	0.0305567	0.000530474	
148	-4511.82	1	0	0.0258872	0.000530474	
149	-4511.82	1	0	0.0323325	0.000530474	
150	-4511.82	1	0	0.0267093	0.000530474	
151	-4511.82	1	0	0.024539	0.000530474	
152	-4511.82	1	0	0.0358839	0.000530474	
153	-4511.82	1	0	0.0287481	0.000530474	
154	-4511.72	1	0	0.0283206	0.000530474	
155	-4511.72	1	0	0.0288797	0.000530474	
156	-4511.72	1	0	0.0264134	0.000530474	
157	-4511.72	1	0	0.0335821	0.000530474	
158	-4511.72	1	0	0.0282878	0.000530474	
159	-4511.72	1	0	0.0348316	0.000530474	
160	-4511.72	1	0	0.0319708	0.000530474	
161	-4511.72	1	0	0.035029	0.000530474	
162	-4511.72	1	0	0.0397313	0.000530474	
163	-4511.72	1	0	0.0404548	0.000530474	
164	-4511.72	1	0	0.0339767	0.000530474	
165	-4511.72	1	0	0.0332203	0.000530474	
166	-4511.72	1	0	0.035851	0.000530474	
167	-4511.72	1	0	0.0335821	0.000530474	
168	-4511.72	1	0	0.0329902	0.000530474	
169	-4511.72	1	0	0.0346015	0.000530474	
170	-4511.72	1	0	0.0391066	0.000530474	
171	-4511.72	1	0	0.0422305	0.000530474	
172	-4511.72	1	0	0.0358182	0.000530474	
173	-4511.72	1	0	0.0462752	0.000530474	
174	-4511.62	1	0	0.0385475	0.000530474	
175	-4511.62	1	0	0.0427238	0.000530474	
176	-4511.62	1	0	0.0439076	0.000530474	
177	-4511.62	1	0	0.045223	0.000530474	
178	-4511.62	1	0	0.0463081	0.000530474	
179	-4511.62	1	0	0.0474262	0.000530474	
180	-4511.62	1	0	0.0510763	0.000530474	
181	-4511.62	1	0	0.0494321	0.000530474	
182	-4511.62	1	0	0.0503528	0.000530474	
183	-4511.62	1	0	0.0513722	0.000530474	
184	-4511.62	1	0	0.0562062	0.000530474	
185	-4511.62	1	0	0.0576859	0.000530474	
186	-4511.62	1	0	0.0536083	0.000530474	
187	-4511.62	1	0	0.0609415	0.000530474	
188	-4511.62	1	0	0.0646244	0.000530474	
189	-4511.62	1	0	0.0719576	0.000530474	
190	-4511.62	1	0	0.0668277	0.000530474	
