# Title: Diode Laser Frequency Scan, no Static, looking for MW power shift.
# Note:	Frequency Scan at n=27. No Static, no PM, MW blinked. -10 dB attenuation. Looking for MW power shift. 610 Lens micrometer at at 36.15 mm
# Type:	Frequency
# Hittite Freq:	18512.8 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	10 dB
# Delay:	1000 ns
# MW Off:	20 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
# 610 Micrometer:	36.15
i	f	b	s	n
0	-4511.52	0.00839959	0.0342069	0.0376268	
1	-4511.52	0.00839959	0.0387777	0.0408165	
2	-4511.52	0.00839959	0.0340424	0.0423292	
3	-4511.52	0.00839959	0.02934	0.0371335	
4	-4511.52	0.00839959	0.0236182	0.0361799	
5	-4511.52	0.00839959	0.0274985	0.0324311	
6	-4511.42	0.00839959	0.025953	0.0391723	
7	-4511.42	0.00839959	0.0225002	0.0303594	
8	-4511.42	0.00839959	0.019146	0.0242759	
9	-4511.42	0.00839959	0.0170744	0.0257228	
10	-4511.42	0.00839959	0.0167455	0.0191789	
11	-4511.42	0.00839959	0.0155617	0.0201654	
12	-4511.42	0.00839959	0.012076	0.016614	
13	-4511.32	0.00839959	0.0131941	0.0113854	
14	-4511.42	0.00839959	0.0112868	0.0137202	
15	-4511.32	0.00839959	0.013786	0.0173703	
16	-4511.32	0.00839959	0.013786	0.0161536	
17	-4511.22	0.00839959	0.0111224	0.0135229	
18	-4511.22	0.00839959	0.0140162	0.0146409	
19	-4511.32	0.00839959	0.0155617	0.0161865	
20	-4511.22	0.00839959	0.0145094	0.0145423	
21	-4511.22	0.00839959	0.010662	0.0157261	
22	-4511.22	0.00839959	0.0125035	0.0133585	
23	-4511.22	0.00839959	0.0133585	0.0119445	
24	-4511.22	0.00839959	0.0110566	0.0158905	
25	-4511.22	0.00839959	0.0149698	0.0153315	
26	-4511.12	0.00839959	0.0125364	0.0129968	
27	-4511.12	0.00839959	0.0157919	0.0133914	
28	-4511.12	0.00839959	0.0161207	0.0181924	
29	-4511.12	0.00839959	0.0185541	0.0137531	
30	-4511.02	0.00839959	0.0116485	0.0180609	
31	-4511.02	0.00839959	0.0140162	0.0163838	
32	-4511.02	0.00839959	0.0142463	0.0152986	
33	-4511.02	0.00839959	0.0125364	0.0169099	
34	-4511.02	0.00839959	0.0127008	0.0215794	
35	-4511.02	0.00839959	0.0132927	0.0241115	
36	-4510.92	0.00839959	0.0170415	0.0251309	
37	-4510.92	0.00839959	0.016318	0.0210533	
38	-4510.92	0.00839959	0.0167455	0.0195735	
39	-4511.02	0.00839959	0.0148711	0.0156932	
40	-4511.02	0.00839959	0.0168113	0.0176991	
41	-4511.02	0.00839959	0.01349	0.0215137	
42	-4511.02	0.00839959	0.0169757	0.0201983	
43	-4511.02	0.00839959	0.017469	0.0150684	
44	-4511.02	0.00839959	0.014345	0.0196393	
45	-4511.02	0.00839959	0.018587	0.0183568	
46	-4510.92	0.00839959	0.0196393	0.0141148	
