# Blinking MW between 18.5131 and 19.6392 GHz, Hittite @ 14 dBm, Attn @ -20 dB, Dye laser at n=27 + 1 f_MW
i	d	s1	s2	r
0	39.5	0.058428	0.003236	18.056912
1	39.7	0.059748	0.006918	8.636984
2	39.3	0.054819	0.005537	9.901209
3	39.6	0.065080	0.004666	13.947148
4	39.4	0.050517	0.004258	11.862807
5	37.7	0.006127	0.035530	0.172456
6	37.9	0.007545	0.032012	0.235679
7	37.5	0.004389	0.032620	0.134548
8	37.3	0.007145	0.026810	0.266487
9	37.6	0.003494	0.033441	0.104497
10	41.5	0.011663	0.063153	0.184674
11	41.7	0.006520	0.060631	0.107532
12	41.9	0.004352	0.053911	0.080719
13	42.1	0.013307	0.053776	0.247452
14	42.0	0.007003	0.049739	0.140798
