# Title: Dye Laser Frequency Scan, Depressed Limit
# Note:	Dye laser frequency scan to find the depressed ionization limit. SFIP with 150 VDC. Short (500 ns) integration gate. Started by using diode laser and Stark Broadening of 27f.
# Type:	Frequency
# Hittite Freq:	18513.1 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	MAX
# Delay:	1000 ns
# MW Off:	20 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
i	f	n	nb	s	sb
0	58.88	-0.0551978	-0.0560561	-0.00272174	-0.00758362	
1	58.78	-0.0551978	-0.0560561	-0.0093314	-0.00758362	
2	58.48	-0.0551978	-0.0560561	-0.00620743	-0.00758362	
3	58.08	-0.0551978	-0.0560561	-0.00847642	-0.00758362	
4	57.98	-0.0551978	-0.0560561	-0.00469477	-0.00758362	
5	57.58	-0.0551978	-0.0560561	-0.00328077	-0.00758362	
6	57.68	-0.0551978	-0.0560561	-0.0070953	-0.00758362	
7	57.18	-0.0551978	-0.0560561	-0.00624032	-0.00758362	
8	57.08	-0.0551978	-0.0560561	-0.00791739	-0.00758362	
9	56.78	-0.0551978	-0.0560561	-0.0123896	-0.00758362	
10	56.48	-0.0551978	-0.0560561	-0.00367537	-0.00758362	
11	56.08	-0.0551978	-0.0560561	-0.00610878	-0.00758362	
12	56.08	-0.0551978	-0.0560561	-0.00857507	-0.00758362	
13	55.58	-0.0551978	-0.0560561	-0.00459612	-0.00758362	
14	55.28	-0.0551978	-0.0560561	-0.00630608	-0.00758362	
15	54.98	-0.0551978	-0.0560561	-0.00617455	-0.00758362	
16	54.78	-0.0551978	-0.0560561	-0.0116662	-0.00758362	
17	54.28	-0.0551978	-0.0560561	-0.00785163	-0.00758362	
18	53.98	-0.0551978	-0.0560561	-0.00864084	-0.00758362	
19	53.48	-0.0551978	-0.0560561	-0.00890391	-0.00758362	
20	52.98	-0.0551978	-0.0560561	-0.0095287	-0.00758362	
21	52.48	-0.0551978	-0.0560561	-0.00584571	-0.00758362	
22	51.88	-0.0551978	-0.0560561	-0.00508938	-0.00758362	
23	51.38	-0.0551978	-0.0560561	-0.0050565	-0.00758362	
24	50.38	-0.0551978	-0.0560561	-0.00334654	-0.00758362	
25	49.98	-0.0551978	-0.0560561	-0.00127485	-0.00758362	
26	49.28	-0.0551978	-0.0560561	-0.00653627	-0.00758362	
