# Title: Dye Laser Frequency Scan, Depressed Limit
# Note:	Dye laser frequency scan to find the depressed ionization limit. HP 214B. Short (250 ns) integration gate.
# Type:	Frequency
# Hittite Freq:	18513.1 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	MAX
# Delay:	1000 ns
# MW Off:	20 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
i	f	n	nb	s	sb
0	77.58	0.07617	0.0258543	-0.0164014	-0.0227168	
1	77.28	0.07617	0.0258543	-0.0168618	-0.0227168	
2	77.28	0.07617	0.0258543	-0.0145271	-0.0227168	
3	76.98	0.07617	0.0258543	-0.0132117	-0.0227168	
4	76.68	0.07617	0.0258543	-0.0169933	-0.0227168	
5	76.58	0.07617	0.0258543	-0.017651	-0.0227168	
6	76.58	0.07617	0.0258543	-0.0195254	-0.0227168	
7	76.28	0.07617	0.0258543	-0.0155136	-0.0227168	
8	75.98	0.07617	0.0258543	-0.0158095	-0.0227168	
9	75.98	0.07617	0.0258543	-0.013968	-0.0227168	
10	75.68	0.07617	0.0258543	-0.0138365	-0.0227168	
11	75.18	0.07617	0.0258543	-0.0130802	-0.0227168	
12	74.98	0.07617	0.0258543	-0.017651	-0.0227168	
13	74.58	0.07617	0.0258543	-0.0158753	-0.0227168	
14	74.38	0.07617	0.0258543	-0.0151518	-0.0227168	
15	73.88	0.07617	0.0258543	-0.0128171	-0.0227168	
16	73.78	0.07617	0.0258543	-0.0134419	-0.0227168	
17	73.28	0.07617	0.0258543	-0.0152176	-0.0227168	
18	73.08	0.07617	0.0258543	-0.0154149	-0.0227168	
19	72.58	0.07617	0.0258543	-0.0139023	-0.0227168	
20	71.88	0.07617	0.0258543	-0.0159739	-0.0227168	
21	71.68	0.07617	0.0258543	-0.0146915	-0.0227168	
22	71.38	0.07617	0.0258543	-0.0171578	-0.0227168	
23	70.78	0.07617	0.0258543	-0.0179799	-0.0227168	
