# Title: Dye Laser Frequency Scan, Depressed Limit
# Note:	Dye laser frequency scan to find the depressed ionization limit. HP 214B. Short (250 ns) integration gate.
# Type:	Frequency
# Hittite Freq:	18512.9 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	MAX
# Delay:	1000 ns
# MW Off:	 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
i	f	n	nb	s	sb
0	59.78	0.0890851	0.0528504	0.0400931	0.037635	
1	59.58	0.0890851	0.0528504	0.0444009	0.037635	
2	59.08	0.0890851	0.0528504	0.0411125	0.037635	
3	58.78	0.0890851	0.0528504	0.0415728	0.037635	
4	58.68	0.0890851	0.0528504	0.0420332	0.037635	
5	58.18	0.0890851	0.0528504	0.0411782	0.037635	
6	58.18	0.0890851	0.0528504	0.0414413	0.037635	
7	57.88	0.0890851	0.0528504	0.0408165	0.037635	
8	57.58	0.0890851	0.0528504	0.0416715	0.037635	
9	57.38	0.0890851	0.0528504	0.0424607	0.037635	
10	57.18	0.0890851	0.0528504	0.0422305	0.037635	
11	56.98	0.0890851	0.0528504	0.0451572	0.037635	
12	56.68	0.0890851	0.0528504	0.0379556	0.037635	
13	56.38	0.0890851	0.0528504	0.042954	0.037635	
14	56.08	0.0890851	0.0528504	0.0389421	0.037635	
15	55.78	0.0890851	0.0528504	0.0424607	0.037635	
16	55.18	0.0890851	0.0528504	0.0442693	0.037635	
17	54.48	0.0890851	0.0528504	0.0399944	0.037635	
18	54.18	0.0890851	0.0528504	0.0420003	0.037635	
19	53.78	0.0890851	0.0528504	0.0419017	0.037635	
20	53.38	0.0890851	0.0528504	0.0406521	0.037635	
21	52.98	0.0890851	0.0528504	0.0423949	0.037635	
22	51.98	0.0890851	0.0528504	0.0403561	0.037635	
23	51.48	0.0890851	0.0528504	0.0430855	0.037635	
24	50.98	0.0890851	0.0528504	0.0435459	0.037635	
25	50.38	0.0890851	0.0528504	0.0397313	0.037635	
26	49.88	0.0890851	0.0528504	0.0411125	0.037635	
27	49.18	0.0890851	0.0528504	0.0443022	0.037635	
28	48.58	0.0890851	0.0528504	0.0422634	0.037635	
29	47.98	0.0890851	0.0528504	0.0421976	0.037635	
30	47.28	0.0890851	0.0528504	0.037561	0.037635	
31	46.58	0.0890851	0.0528504	0.038975	0.037635	
32	45.78	0.0890851	0.0528504	0.0428224	0.037635	
33	45.18	0.0890851	0.0528504	0.0400602	0.037635	
34	44.68	0.0890851	0.0528504	0.0424607	0.037635	
35	43.98	0.0890851	0.0528504	0.03983	0.037635	
36	43.18	0.0890851	0.0528504	0.0422963	0.037635	
