# Filename	C:\Users\labuser\Documents\Data\2018-09-30\5_fscan.txt
# Date	2018-10-1-3:6
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	# Note Cavity Resonance Scan using MW ionization at -180 GHz. Hittite HMC-T2100 at 14 dB connected to splitter, mixer, then doubler, -20 dB, amp, cavity. AWG used to pulse MW field 100 ns after lasers, for 300 ns. Variable attenuation at -14 dB.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18480000000.000	0.037	0.166	0.158
18482000000.000	0.037	0.181	0.167
18484000000.000	0.037	0.175	0.153
18486000000.000	0.037	0.166	0.179
18488000000.000	0.037	0.176	0.177
18490000000.000	0.037	0.177	0.178
18492000000.000	0.037	0.163	0.191
18494000000.000	0.037	0.164	0.182
18496000000.000	0.037	0.152	0.157
18498000000.000	0.037	0.140	0.172
18500000000.000	0.037	0.138	0.161
18502000000.000	0.037	0.123	0.165
18504000000.000	0.037	0.117	0.166
18506000000.000	0.037	0.105	0.172
18508000000.000	0.037	0.092	0.159
18510000000.000	0.037	0.094	0.175
18512000000.000	0.037	0.088	0.162
18514000000.000	0.037	0.089	0.162
18516000000.000	0.037	0.111	0.166
18518000000.000	0.037	0.106	0.169
18520000000.000	0.037	0.125	0.160
18522000000.000	0.037	0.121	0.151
18524000000.000	0.037	0.132	0.166
18526000000.000	0.037	0.147	0.146
18528000000.000	0.037	0.143	0.157
18530000000.000	0.037	0.141	0.171
18532000000.000	0.037	0.161	0.159
18534000000.000	0.037	0.142	0.174
18536000000.000	0.037	0.155	0.171
18538000000.000	0.037	0.149	0.162
18540000000.000	0.037	0.155	0.157
18480200000.000	0.037	0.164	0.164
18482200000.000	0.037	0.153	0.153
18484200000.000	0.037	0.174	0.149
18486200000.000	0.037	0.144	0.158
18488200000.000	0.037	0.162	0.155
18490200000.000	0.037	0.141	0.154
18492200000.000	0.037	0.152	0.156
18494200000.000	0.037	0.145	0.170
18496200000.000	0.037	0.136	0.155
18498200000.000	0.037	0.145	0.145
18500200000.000	0.037	0.121	0.162
18502200000.000	0.037	0.100	0.151
18504200000.000	0.037	0.101	0.157
18506200000.000	0.037	0.092	0.163
18508200000.000	0.037	0.072	0.159
18510200000.000	0.037	0.076	0.153
18512200000.000	0.037	0.080	0.152
18514200000.000	0.037	0.078	0.158
18516200000.000	0.037	0.095	0.155
18518200000.000	0.037	0.096	0.164
18520200000.000	0.037	0.115	0.147
18522200000.000	0.037	0.120	0.156
18524200000.000	0.037	0.143	0.166
18526200000.000	0.037	0.134	0.150
18528200000.000	0.037	0.142	0.156
18530200000.000	0.037	0.136	0.144
18532200000.000	0.037	0.143	0.166
18534200000.000	0.037	0.148	0.154
18536200000.000	0.037	0.148	0.166
18538200000.000	0.037	0.156	0.154
18480400000.000	0.037	0.176	0.156
18482400000.000	0.037	0.154	0.149
18484400000.000	0.037	0.152	0.161
18486400000.000	0.037	0.164	0.160
18488400000.000	0.037	0.173	0.174
18490400000.000	0.037	0.153	0.173
18492400000.000	0.037	0.154	0.163
18494400000.000	0.037	0.159	0.156
18496400000.000	0.037	0.144	0.149
18498400000.000	0.037	0.143	0.168
18500400000.000	0.037	0.113	0.157
18502400000.000	0.037	0.109	0.156
18504400000.000	0.037	0.100	0.163
18506400000.000	0.037	0.098	0.161
18508400000.000	0.037	0.077	0.172
18510400000.000	0.037	0.081	0.156
18512400000.000	0.037	0.084	0.162
18514400000.000	0.037	0.088	0.156
18516400000.000	0.037	0.092	0.148
18518400000.000	0.037	0.116	0.163
18520400000.000	0.037	0.119	0.148
18522400000.000	0.037	0.121	0.148
18524400000.000	0.037	0.133	0.166
18526400000.000	0.037	0.142	0.162
18528400000.000	0.037	0.125	0.143
18530400000.000	0.037	0.131	0.150
18532400000.000	0.037	0.145	0.166
18534400000.000	0.037	0.158	0.152
18536400000.000	0.037	0.150	0.157
18538400000.000	0.037	0.153	0.166
18480600000.000	0.037	0.172	0.154
18482600000.000	0.037	0.157	0.152
18484600000.000	0.037	0.154	0.159
18486600000.000	0.037	0.155	0.146
18488600000.000	0.037	0.143	0.156
18490600000.000	0.037	0.141	0.171
18492600000.000	0.037	0.146	0.155
18494600000.000	0.037	0.141	0.147
18496600000.000	0.037	0.137	0.156
18498600000.000	0.037	0.132	0.164
18500600000.000	0.037	0.113	0.153
18502600000.000	0.037	0.105	0.150
18504600000.000	0.037	0.096	0.150
18506600000.000	0.037	0.082	0.155
18508600000.000	0.037	0.080	0.139
18510600000.000	0.037	0.077	0.155
18512600000.000	0.037	0.083	0.164
18514600000.000	0.037	0.078	0.165
18516600000.000	0.037	0.102	0.162
18518600000.000	0.037	0.102	0.159
18520600000.000	0.037	0.125	0.151
18522600000.000	0.037	0.137	0.163
18524600000.000	0.037	0.134	0.149
18526600000.000	0.037	0.140	0.156
18528600000.000	0.037	0.146	0.156
18530600000.000	0.037	0.148	0.155
18532600000.000	0.037	0.136	0.144
18534600000.000	0.037	0.153	0.162
18536600000.000	0.037	0.157	0.158
18538600000.000	0.037	0.149	0.169
18480800000.000	0.037	0.152	0.157
18482800000.000	0.037	0.159	0.164
18484800000.000	0.037	0.152	0.167
18486800000.000	0.037	0.158	0.160
18488800000.000	0.037	0.150	0.160
18490800000.000	0.037	0.151	0.162
18492800000.000	0.037	0.164	0.166
18494800000.000	0.037	0.152	0.154
18496800000.000	0.037	0.142	0.151
18498800000.000	0.037	0.130	0.160
18500800000.000	0.037	0.125	0.146
18502800000.000	0.037	0.108	0.171
18504800000.000	0.037	0.100	0.154
18506800000.000	0.037	0.081	0.150
