# Title: Dye Laser Frequency Scan w/ MW Blink
# Note:	Dye laser frequency scan to find the ionization rate at Attn = 33 dB.
# Type:	Frequency
# Hittite Freq:	18510.1 MHz
# Ref Freq:	18400.0 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	33 dB
# Delay:	1000 ns
# MW Off:	 100 to 400 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
i	f	b	s	r
0	41.78	5.97627E-6	0.00688035	0.00408522	
1	40.98	5.97627E-6	0.006979	0.00635421	
2	40.38	5.97627E-6	0.00632133	0.00517039	
3	39.78	5.97627E-6	0.00701189	0.00477578	
4	39.28	5.97627E-6	0.00161893	0.00467713	
5	38.78	5.97627E-6	0.00398657	0.00234238	
6	38.58	5.97627E-6	0.00240814	0.0030987	
7	38.28	5.97627E-6	0.00211219	0.00214507	
8	37.58	5.97627E-6	-0.000518522	0.00273698	
9	36.78	5.97627E-6	0.00401945	0.00438118	
10	36.68	5.97627E-6	0.00319736	0.00424964	
11	36.48	5.97627E-6	0.00059953	-5.81473E-5	
12	35.88	5.97627E-6	-0.000123915	0.00017204	
13	35.58	5.97627E-6	-9.10312E-5	0.00102702	
14	35.18	5.97627E-6	-0.000584289	0.000796834	
15	34.68	5.97627E-6	0.00530192	0.00221084	
16	34.38	5.97627E-6	0.00155316	0.00260545	
17	33.58	5.97627E-6	0.00129009	-0.00242579	
18	32.98	5.97627E-6	-0.0011762	-0.000123915	
19	32.58	5.97627E-6	-0.00564841	-0.00410286	
20	32.08	5.97627E-6	-0.00147215	0.00283563	
21	31.58	5.97627E-6	-0.00449747	-0.00485919	
22	30.68	5.97627E-6	-0.00127485	-0.00597725	
23	29.88	5.97627E-6	-0.00867372	-0.00577994	
24	29.58	5.97627E-6	-0.00416863	-0.00903545	
25	29.08	5.97627E-6	-0.00268886	-0.00745702	
26	28.58	5.97627E-6	-0.00462901	-0.00222848	
27	27.78	5.97627E-6	-0.0023929	-0.00561552	
28	27.08	5.97627E-6	0.00178335	-0.00755567	
29	26.48	5.97627E-6	-0.000814477	-0.00127485	
30	25.88	5.97627E-6	0.00115856	-0.00515515	
31	25.28	5.97627E-6	-9.10312E-5	-0.00160369	
32	24.48	5.97627E-6	-0.00499073	-0.00508938	
33	23.88	5.97627E-6	-0.000814477	-0.00209695	
34	23.28	5.97627E-6	0.00201354	-0.00347807	
35	22.88	5.97627E-6	-0.00150504	-0.0101535	
36	22.18	5.97627E-6	-0.00374114	-0.0062732	
37	21.58	5.97627E-6	-0.00610878	-0.0052538	
38	21.08	5.97627E-6	-0.00462901	-0.00374114	
39	20.48	5.97627E-6	0.00385503	-0.000189683	
40	20.18	5.97627E-6	0.000402227	0.00490732	
41	19.78	5.97627E-6	0.00674882	0.00158605	
42	19.18	5.97627E-6	0.00480867	0.00599249	
