# Title: Diode laser frequency scan at 40 V, looking for Stark splitting of n=27.
# Note:	Diode laser frequency scan to find stark splitting at n=27. +40 V applied Top to Bot. SFIP with 750 ns integration gate.
# Type:	Frequency
# Hittite Freq:	18400.0 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	MAX
# Delay:	1000 ns
# MW Off:	300 - 600 ns
# Top w/o Static:	Top: -0.002, Bot: +0.016 V
# Static:	Top: +20 V, Bot: -20 V
# Static Off:	NaN
# Pulse: 153 VDC on SFIP
i	f	n	nb	s	sb
0	-4525.32	1	0	0.0528191	0.0558017	
1	-4525.32	1	0	0.054562	0.0558017	
2	-4525.32	1	0	0.0519313	0.0558017	
3	-4525.32	1	0	0.0567652	0.0558017	
4	-4525.32	1	0	0.0531151	0.0558017	
5	-4525.32	1	0	0.0540687	0.0558017	
6	-4525.32	1	0	0.0549237	0.0558017	
7	-4525.22	1	0	0.0548908	0.0558017	
8	-4525.22	1	0	0.0598892	0.0558017	
9	-4525.22	1	0	0.0596261	0.0558017	
10	-4525.22	1	0	0.0541345	0.0558017	
11	-4525.22	1	0	0.0576531	0.0558017	
12	-4525.12	1	0	0.0583765	0.0558017	
13	-4525.12	1	0	0.0583107	0.0558017	
14	-4525.12	1	0	0.0568639	0.0558017	
15	-4525.12	1	0	0.0577517	0.0558017	
16	-4525.02	1	0	0.0560746	0.0558017	
17	-4525.02	1	0	0.060218	0.0558017	
18	-4525.02	1	0	0.0558116	0.0558017	
19	-4525.02	1	0	0.0564692	0.0558017	
20	-4525.02	1	0	0.0592973	0.0558017	
21	-4525.02	1	0	0.0547593	0.0558017	
22	-4524.92	1	0	0.0597576	0.0558017	
23	-4524.92	1	0	0.0549895	0.0558017	
24	-4524.92	1	0	0.0538056	0.0558017	
25	-4524.92	1	0	0.0564364	0.0558017	
26	-4524.82	1	0	0.0563377	0.0558017	
27	-4524.82	1	0	0.0572913	0.0558017	
28	-4524.82	1	0	0.0576859	0.0558017	
29	-4524.82	1	0	0.0578833	0.0558017	
30	-4524.82	1	0	0.0613361	0.0558017	
31	-4524.72	1	0	0.060777	0.0558017	
32	-4524.72	1	0	0.0608099	0.0558017	
33	-4524.72	1	0	0.0590671	0.0558017	
34	-4524.72	1	0	0.0603495	0.0558017	
35	-4524.72	1	0	0.0650848	0.0558017	
36	-4524.62	1	0	0.0685047	0.0558017	
