# Title: Dye Laser Frequency Scan, 10.0 dB on Var Attn, 40 V Top to Bot, n=27 looking for sidebands.
# Note:	Frequency Scan at n=27, 10.0 dB on Var Attn, 40 V Top to Bot, looking for Sidebands.
# Type:	Frequency
# Hittite Freq:	18512.2 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	10.0 dB
# Delay:	1000 ns
# MW Off:	220 ns
# Top w/o Static:	0.00 V
# Static:	40 V
# Static Off:	NaN
i	f	n	nb	s	sb
0	-4399.22	0.15601	0.13211	0.00355908	0.000236163	
1	-4399.02	0.15601	0.13211	-0.000682941	0.000236163	
2	-4399.32	0.15601	0.13211	-0.00400421	0.000236163	
3	-4399.32	0.15601	0.13211	0.00434829	0.000236163	
4	-4399.42	0.15601	0.13211	0.00283563	0.000236163	
5	-4399.62	0.15601	0.13211	-0.000386986	0.000236163	
6	-4399.92	0.15601	0.13211	-0.00101178	0.000236163	
7	-4399.92	0.15601	0.13211	0.00513751	0.000236163	
8	-4400.32	0.15601	0.13211	-0.000978896	0.000236163	
9	-4400.32	0.15601	0.13211	-0.00245867	0.000236163	
10	-4400.32	0.15601	0.13211	-0.00236002	0.000236163	
11	-4400.32	0.15601	0.13211	0.000928369	0.000236163	
12	-4400.32	0.15601	0.13211	-0.00679934	0.000236163	
13	-4400.52	0.15601	0.13211	-0.00413575	0.000236163	
14	-4400.62	0.15601	0.13211	-0.00170234	0.000236163	
15	-4401.02	0.15601	0.13211	0.00211219	0.000236163	
16	-4401.02	0.15601	0.13211	0.00253968	0.000236163	
17	-4401.22	0.15601	0.13211	0.000369343	0.000236163	
18	-4401.22	0.15601	0.13211	0.00119144	0.000236163	
19	-4401.32	0.15601	0.13211	-0.000321218	0.000236163	
20	-4401.52	0.15601	0.13211	-0.00193253	0.000236163	
21	-4401.52	0.15601	0.13211	-0.000584289	0.000236163	
22	-4401.62	0.15601	0.13211	0.000270691	0.000236163	
23	-4401.72	0.15601	0.13211	-0.000255451	0.000236163	
24	-4402.02	0.15601	0.13211	0.000698182	0.000236163	
25	-4402.22	0.15601	0.13211	-0.000354102	0.000236163	
26	-4402.32	0.15601	0.13211	0.000928369	0.000236163	
27	-4402.72	0.15601	0.13211	0.00286852	0.000236163	
28	-4402.52	0.15601	0.13211	-0.0050565	0.000236163	
29	-4402.92	0.15601	0.13211	-0.00446459	0.000236163	
30	-4403.42	0.15601	0.13211	-0.00374114	0.000236163	
31	-4403.52	0.15601	0.13211	-0.00278751	0.000236163	
32	-4403.72	0.15601	0.13211	-0.00160369	0.000236163	
33	-4403.62	0.15601	0.13211	0.00237526	0.000236163	
34	-4404.22	0.15601	0.13211	0.0039208	0.000236163	
35	-4404.32	0.15601	0.13211	0.00161893	0.000236163	
36	-4404.52	0.15601	0.13211	0.000829717	0.000236163	
37	-4404.62	0.15601	0.13211	0.00286852	0.000236163	
38	-4404.82	0.15601	0.13211	0.00283563	0.000236163	
39	-4405.12	0.15601	0.13211	0.00411811	0.000236163	
40	-4405.42	0.15601	0.13211	0.00109279	0.000236163	
41	-4405.72	0.15601	0.13211	0.00336178	0.000236163	
42	-4405.82	0.15601	0.13211	-0.00314923	0.000236163	
43	-4406.22	0.15601	0.13211	-0.0062732	0.000236163	
44	-4406.52	0.15601	0.13211	-0.0040371	0.000236163	
45	-4406.72	0.15601	0.13211	-0.00581283	0.000236163	
46	-4407.12	0.15601	0.13211	0.00129009	0.000236163	
47	-4407.22	0.15601	0.13211	-0.00143927	0.000236163	
48	-4407.22	0.15601	0.13211	-0.00245867	0.000236163	
49	-4407.62	0.15601	0.13211	-0.00160369	0.000236163	
50	-4407.82	0.15601	0.13211	0.000862601	0.000236163	
51	-4408.32	0.15601	0.13211	0.00336178	0.000236163	
52	-4408.22	0.15601	0.13211	0.000862601	0.000236163	
53	-4408.82	0.15601	0.13211	0.00319736	0.000236163	
54	-4409.12	0.15601	0.13211	0.00257256	0.000236163	
55	-4409.42	0.15601	0.13211	-0.00157081	0.000236163	
56	-4409.42	0.15601	0.13211	-0.000485638	0.000236163	
