# Title: Diode Laser Delay Scan, 10.0 dB on Var Attn, 0 V applied, n=27 looking for 2x MWF modulation.
# Note:	Diode Laser Delay Scan, 10.0 dB on Var Attn, 0 V applied, n=27 looking for 2x MWF modulation.
# Type:	Delay
# Hittite Freq:	18511.9 MHz
# Hittite: Power	14 dBm
# Laser Freq:	361359.4 GHz
# Laser Mod:	1.4
# Laser Mod Attn:	35.0 dB
# MW Attn:	10.0 dB
# Delay:	1000 ns
# MW Off:	NaN
# Top w/o Static:	0.00 V
# Static:	0 V
# Static Off:	NaN
i	d	n	nb	s	sb
0.000	46805.000	1.000	0.000	0.290	0.040
1.000	47877.000	1.000	0.000	0.316	0.040
2.000	48949.000	1.000	0.000	0.335	0.040
3.000	50021.000	1.000	0.000	0.310	0.040
4.000	51093.000	1.000	0.000	0.312	0.040
5.000	52165.000	1.000	0.000	0.294	0.040
6.000	53237.000	1.000	0.000	0.285	0.040
7.000	54309.000	1.000	0.000	0.299	0.040
8.000	55380.000	1.000	0.000	0.304	0.040
9.000	56452.000	1.000	0.000	0.291	0.040
10.000	57524.000	1.000	0.000	0.304	0.040
11.000	58596.000	1.000	0.000	0.316	0.040
12.000	59668.000	1.000	0.000	0.293	0.040
13.000	60740.000	1.000	0.000	0.308	0.040
14.000	61812.000	1.000	0.000	0.304	0.040
15.000	62884.000	1.000	0.000	0.310	0.040
16.000	63956.000	1.000	0.000	0.333	0.040
17.000	65028.000	1.000	0.000	0.297	0.040
18.000	66100.000	1.000	0.000	0.293	0.040
19.000	67172.000	1.000	0.000	0.300	0.040
20.000	68244.000	1.000	0.000	0.293	0.040
21.000	69316.000	1.000	0.000	0.298	0.040
22.000	70388.000	1.000	0.000	0.299	0.040
23.000	71460.000	1.000	0.000	0.297	0.040
24.000	72532.000	1.000	0.000	0.309	0.040
25.000	73603.000	1.000	0.000	0.315	0.040
26.000	74675.000	1.000	0.000	0.304	0.040
27.000	75747.000	1.000	0.000	0.309	0.040
28.000	76819.000	1.000	0.000	0.302	0.040
29.000	77891.000	1.000	0.000	0.295	0.040
30.000	78963.000	1.000	0.000	0.295	0.040
31.000	80035.000	1.000	0.000	0.303	0.040
32.000	81107.000	1.000	0.000	0.312	0.040
33.000	82179.000	1.000	0.000	0.300	0.040
34.000	83251.000	1.000	0.000	0.286	0.040
35.000	84323.000	1.000	0.000	0.321	0.040
36.000	85395.000	1.000	0.000	0.304	0.040
37.000	86467.000	1.000	0.000	0.307	0.040
38.000	87539.000	1.000	0.000	0.304	0.040
39.000	88611.000	1.000	0.000	0.284	0.040
40.000	89683.000	1.000	0.000	0.306	0.040
