# Title: Diode Laser Frequency Scan, MW Blink With MW, Static, no PM, n=27.
# Note:	Diode Frequency Scan at n=27, 40 V static, MW Blink at -5 dB Attn, no PM, looking for MW power shift. Tuned to blue end of manifold.
# Type:	Frequency
# Hittite Freq:	18510.2 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	MAX
# MW Attn:	11.0 dB
# Delay:	1000 ns
# MW Off:	NaN
# Top w/o Static:	-0.033 V
# Static:	40 V
# Static Off:	NaN
i	f	b	s	r
0.000	-4503.420	0.056	0.089	0.281
1.000	-4503.420	0.056	0.087	0.244
2.000	-4503.320	0.056	0.085	0.198
3.000	-4503.320	0.056	0.079	0.161
4.000	-4503.320	0.056	0.093	0.137
5.000	-4503.320	0.056	0.088	0.120
6.000	-4503.320	0.056	0.092	0.124
7.000	-4503.320	0.056	0.090	0.113
8.000	-4503.320	0.056	0.095	0.112
9.000	-4503.320	0.056	0.098	0.106
10.000	-4503.320	0.056	0.112	0.107
11.000	-4503.220	0.056	0.107	0.108
12.000	-4503.220	0.056	0.108	0.120
13.000	-4503.220	0.056	0.105	0.127
14.000	-4503.220	0.056	0.101	0.122
15.000	-4503.220	0.056	0.109	0.130
16.000	-4503.220	0.056	0.098	0.129
17.000	-4503.220	0.056	0.101	0.109
18.000	-4503.120	0.056	0.100	0.106
19.000	-4503.120	0.056	0.101	0.125
20.000	-4503.120	0.056	0.105	0.129
21.000	-4503.120	0.056	0.085	0.135
22.000	-4503.120	0.056	0.092	0.121
23.000	-4503.020	0.056	0.086	0.116
24.000	-4503.020	0.056	0.100	0.110
25.000	-4503.020	0.056	0.110	0.109
26.000	-4503.020	0.056	0.106	0.108
27.000	-4503.020	0.056	0.119	0.109
28.000	-4503.020	0.056	0.123	0.115
29.000	-4503.020	0.056	0.148	0.117
30.000	-4503.020	0.056	0.181	0.119
31.000	-4503.020	0.056	0.207	0.125
32.000	-4502.920	0.056	0.219	0.132
33.000	-4503.020	0.056	0.209	0.153
34.000	-4502.920	0.056	0.229	0.163
35.000	-4502.920	0.056	0.226	0.211
36.000	-4502.920	0.056	0.222	0.263
37.000	-4502.920	0.056	0.191	0.323
38.000	-4502.920	0.056	0.156	0.273
39.000	-4502.920	0.056	0.126	0.264
40.000	-4502.820	0.056	0.111	0.279
41.000	-4502.820	0.056	0.099	0.298
42.000	-4502.820	0.056	0.090	0.272
43.000	-4502.820	0.056	0.087	0.244
44.000	-4502.820	0.056	0.076	0.185
45.000	-4502.720	0.056	0.084	0.139
46.000	-4502.720	0.056	0.083	0.135
47.000	-4502.720	0.056	0.079	0.121
48.000	-4502.720	0.056	0.081	0.104
49.000	-4502.720	0.056	0.084	0.108
50.000	-4502.720	0.056	0.080	0.103
51.000	-4502.720	0.056	0.098	0.098
52.000	-4502.720	0.056	0.101	0.105
53.000	-4502.620	0.056	0.097	0.102
54.000	-4502.620	0.056	0.092	0.123
55.000	-4502.620	0.056	0.088	0.133
56.000	-4502.620	0.056	0.101	0.123
57.000	-4502.620	0.056	0.097	0.122
58.000	-4502.520	0.056	0.104	0.115
59.000	-4502.520	0.056	0.110	0.109
60.000	-4502.520	0.056	0.097	0.102
61.000	-4502.520	0.056	0.091	0.111
62.000	-4502.520	0.056	0.087	0.128
63.000	-4502.420	0.056	0.082	0.124
64.000	-4502.420	0.056	0.085	0.129
65.000	-4502.420	0.056	0.093	0.115
66.000	-4502.420	0.056	0.103	0.102
67.000	-4502.420	0.056	0.100	0.101
68.000	-4502.320	0.056	0.105	0.108
69.000	-4502.320	0.056	0.113	0.113
70.000	-4502.320	0.056	0.151	0.116
71.000	-4502.320	0.056	0.176	0.112
72.000	-4502.320	0.056	0.200	0.132
73.000	-4502.320	0.056	0.192	0.149
74.000	-4502.220	0.056	0.190	0.155
75.000	-4502.220	0.056	0.196	0.218
76.000	-4502.220	0.056	0.191	0.258
77.000	-4502.220	0.056	0.181	0.287
78.000	-4502.120	0.056	0.177	0.272
79.000	-4502.120	0.056	0.144	0.243
80.000	-4502.120	0.056	0.126	0.228
81.000	-4502.120	0.056	0.089	0.243
82.000	-4502.120	0.056	0.085	0.268
83.000	-4502.120	0.056	0.083	0.230
84.000	-4502.020	0.056	0.080	0.202
85.000	-4502.020	0.056	0.084	0.163
86.000	-4502.020	0.056	0.076	0.123
87.000	-4502.020	0.056	0.077	0.107
88.000	-4502.020	0.056	0.074	0.103
89.000	-4502.020	0.056	0.066	0.105
90.000	-4501.920	0.056	0.067	0.094
91.000	-4501.920	0.056	0.068	0.089
92.000	-4501.920	0.056	0.072	0.081
93.000	-4501.920	0.056	0.073	0.078
94.000	-4501.920	0.056	0.066	0.078
95.000	-4501.920	0.056	0.072	0.082
96.000	-4501.820	0.056	0.077	0.070
97.000	-4501.820	0.056	0.072	0.076
98.000	-4501.720	0.056	0.075	0.072
99.000	-4501.720	0.056	0.072	0.072
100.000	-4501.720	0.056	0.070	0.073
101.000	-4501.620	0.056	0.073	0.072
102.000	-4501.620	0.056	0.073	0.077
103.000	-4501.620	0.056	0.073	0.084
104.000	-4501.520	0.056	0.071	0.079
105.000	-4501.520	0.056	0.076	0.091
106.000	-4501.520	0.056	0.077	0.086
107.000	-4501.520	0.056	0.085	0.083
108.000	-4501.520	0.056	0.089	0.086
109.000	-4501.520	0.056	0.096	0.088
110.000	-4501.420	0.056	0.110	0.105
111.000	-4501.420	0.056	0.135	0.112
112.000	-4501.420	0.056	0.151	0.121
113.000	-4501.420	0.056	0.162	0.136
114.000	-4501.420	0.056	0.151	0.175
115.000	-4501.320	0.056	0.160	0.212
116.000	-4501.320	0.056	0.144	0.247
117.000	-4501.320	0.056	0.139	0.242
118.000	-4501.320	0.056	0.146	0.221
119.000	-4501.320	0.056	0.158	0.182
120.000	-4501.320	0.056	0.135	0.183
121.000	-4501.220	0.056	0.118	0.184
122.000	-4501.220	0.056	0.104	0.218
123.000	-4501.220	0.056	0.091	0.225
124.000	-4501.220	0.056	0.079	0.218
125.000	-4501.220	0.056	0.076	0.198
126.000	-4501.220	0.056	0.072	0.140
127.000	-4501.220	0.056	0.065	0.116
128.000	-4501.220	0.056	0.062	0.094
129.000	-4501.220	0.056	0.066	0.097
130.000	-4501.220	0.056	0.062	0.087
131.000	-4501.220	0.056	0.066	0.079
132.000	-4501.220	0.056	0.056	0.075
133.000	-4501.220	0.056	0.059	0.071
134.000	-4501.220	0.056	0.058	0.073
135.000	-4501.120	0.056	0.059	0.071
136.000	-4501.120	0.056	0.061	0.072
137.000	-4501.120	0.056	0.061	0.068
138.000	-4501.120	0.056	0.059	0.070
139.000	-4501.020	0.056	0.057	0.068
140.000	-4501.020	0.056	0.058	0.063
141.000	-4501.020	0.056	0.061	0.061
142.000	-4501.020	0.056	0.060	0.063
143.000	-4501.020	0.056	0.061	0.064
144.000	-4501.020	0.056	0.060	0.066
145.000	-4501.020	0.056	0.060	0.064
146.000	-4500.920	0.056	0.059	0.063
147.000	-4500.920	0.056	0.063	0.062
148.000	-4500.920	0.056	0.060	0.068
149.000	-4500.920	0.056	0.059	0.064
150.000	-4500.920	0.056	0.059	0.069
