# Filename	C:\Users\labuser\Documents\Data\2018-10-10\1_fscan.txt
# Date	2018-10-10-21:34
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	Hittite HMC-T2100 Connected to Splitter to Mixer to Doubler to -20 dB o Amp to Var Attn to Cavity. Var Attn at 27 dB. Laser at -180 GHz. MW continous. Looking for MW Ionization.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18480000000.000	-0.000	0.059	0.063
18482000000.000	-0.000	0.060	0.060
18484000000.000	-0.000	0.059	0.059
18486000000.000	-0.000	0.060	0.059
18488000000.000	-0.000	0.063	0.060
18490000000.000	-0.000	0.056	0.063
18492000000.000	-0.000	0.063	0.065
18494000000.000	-0.000	0.057	0.066
18496000000.000	-0.000	0.057	0.071
18498000000.000	-0.000	0.055	0.060
18500000000.000	-0.000	0.062	0.062
18502000000.000	-0.000	0.065	0.064
18504000000.000	-0.000	0.048	0.065
18506000000.000	-0.000	0.037	0.070
18508000000.000	-0.000	0.032	0.066
18510000000.000	-0.000	0.029	0.060
18512000000.000	-0.000	0.030	0.059
18514000000.000	-0.000	0.036	0.060
18516000000.000	-0.000	0.041	0.057
18518000000.000	-0.000	0.051	0.052
18520000000.000	-0.000	0.058	0.063
18522000000.000	-0.000	0.054	0.060
18524000000.000	-0.000	0.060	0.055
18526000000.000	-0.000	0.058	0.066
18528000000.000	-0.000	0.060	0.066
18530000000.000	-0.000	0.069	0.065
18532000000.000	-0.000	0.064	0.059
18534000000.000	-0.000	0.068	0.053
18536000000.000	-0.000	0.060	0.066
18538000000.000	-0.000	0.060	0.060
18540000000.000	-0.000	0.058	0.059
18480200000.000	-0.000	0.054	0.059
18482200000.000	-0.000	0.062	0.064
18484200000.000	-0.000	0.060	0.058
18486200000.000	-0.000	0.049	0.060
18488200000.000	-0.000	0.061	0.061
18490200000.000	-0.000	0.057	0.062
18492200000.000	-0.000	0.059	0.056
18494200000.000	-0.000	0.058	0.056
18496200000.000	-0.000	0.059	0.059
18498200000.000	-0.000	0.060	0.054
18500200000.000	-0.000	0.057	0.057
18502200000.000	-0.000	0.054	0.066
18504200000.000	-0.000	0.046	0.065
18506200000.000	-0.000	0.040	0.060
18508200000.000	-0.000	0.031	0.060
18510200000.000	-0.000	0.026	0.063
18512200000.000	-0.000	0.031	0.058
18514200000.000	-0.000	0.040	0.062
18516200000.000	-0.000	0.045	0.060
18518200000.000	-0.000	0.054	0.066
18520200000.000	-0.000	0.050	0.061
18522200000.000	-0.000	0.053	0.052
18524200000.000	-0.000	0.058	0.060
18526200000.000	-0.000	0.055	0.058
18528200000.000	-0.000	0.060	0.054
18530200000.000	-0.000	0.056	0.059
18532200000.000	-0.000	0.059	0.061
18534200000.000	-0.000	0.056	0.063
18536200000.000	-0.000	0.063	0.063
18538200000.000	-0.000	0.059	0.061
18480400000.000	-0.000	0.066	0.066
18482400000.000	-0.000	0.064	0.058
18484400000.000	-0.000	0.061	0.070
18486400000.000	-0.000	0.064	0.063
18488400000.000	-0.000	0.064	0.068
18490400000.000	-0.000	0.063	0.065
18492400000.000	-0.000	0.063	0.059
18494400000.000	-0.000	0.061	0.063
18496400000.000	-0.000	0.058	0.061
18498400000.000	-0.000	0.062	0.055
18500400000.000	-0.000	0.053	0.043
18502400000.000	-0.000	0.049	0.054
18504400000.000	-0.000	0.034	0.061
18506400000.000	-0.000	0.026	0.055
18508400000.000	-0.000	0.030	0.065
18510400000.000	-0.000	0.024	0.066
18512400000.000	-0.000	0.029	0.058
18514400000.000	-0.000	0.043	0.064
18516400000.000	-0.000	0.047	0.070
18518400000.000	-0.000	0.056	0.061
18520400000.000	-0.000	0.055	0.058
