# Title: Diode Laser Delay Scan with MW, Static, and PM
# Note:	Diode Laser Delay Scan w/ Norm, 11.0 dB on MW Var Attn, 40 V applied, 35 dB on PM Var Attn (1.4), n=27 looking for modulation at the MW period. Laser tuned to Reddest Stark State, looking at smaller field for no 2x modulation, just 1x.
# Type:	Delay
# Hittite Freq:	18510.2 MHz
# Hittite: Power	14 dBm
# Laser Freq:	361350.8 GHz
# Laser Mod:	NaN
# Laser Mod Attn:	35 dB
# MW Attn:	11.0 dB
# Delay:	1000 ns
# MW Off:	NaN
# Top w/o Static:	-0.033 V
# Static:	40 V
# Static Off:	NaN
i	d	n	nb	s	sb
0.000	46807.000	1.000	0.000	0.249	0.055
1.000	47879.000	1.000	0.000	0.226	0.055
2.000	48950.000	1.000	0.000	0.196	0.055
3.000	50022.000	1.000	0.000	0.147	0.055
4.000	51094.000	1.000	0.000	0.114	0.055
5.000	52166.000	1.000	0.000	0.088	0.055
6.000	53238.000	1.000	0.000	0.079	0.055
7.000	54310.000	1.000	0.000	0.076	0.055
8.000	55382.000	1.000	0.000	0.070	0.055
9.000	56454.000	1.000	0.000	0.077	0.055
10.000	57526.000	1.000	0.000	0.118	0.055
11.000	58598.000	1.000	0.000	0.167	0.055
12.000	59670.000	1.000	0.000	0.207	0.055
13.000	60741.000	1.000	0.000	0.227	0.055
14.000	61813.000	1.000	0.000	0.269	0.055
15.000	62885.000	1.000	0.000	0.243	0.055
16.000	63957.000	1.000	0.000	0.231	0.055
17.000	65029.000	1.000	0.000	0.184	0.055
18.000	66101.000	1.000	0.000	0.142	0.055
19.000	67173.000	1.000	0.000	0.100	0.055
20.000	68245.000	1.000	0.000	0.083	0.055
21.000	69317.000	1.000	0.000	0.077	0.055
22.000	70389.000	1.000	0.000	0.075	0.055
23.000	71460.000	1.000	0.000	0.072	0.055
24.000	72532.000	1.000	0.000	0.082	0.055
25.000	73604.000	1.000	0.000	0.134	0.055
26.000	74676.000	1.000	0.000	0.172	0.055
27.000	75748.000	1.000	0.000	0.213	0.055
28.000	76820.000	1.000	0.000	0.234	0.055
29.000	77892.000	1.000	0.000	0.244	0.055
30.000	78964.000	1.000	0.000	0.250	0.055
31.000	80036.000	1.000	0.000	0.213	0.055
