# Title: Dye Laser Frequency Scan, MW Off, +50 V Static, Sideband strength vs. MW Power
# Note:	Dye Frequency Scan at n=27 +/- 3 f_MW , +50 V static, MW Off. Looking for change in sideband strength with MW Power
# Type:	Frequency
# Hittite Freq:	18510.2 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	MAX
# MW Attn:	MAX
# Delay:	1000 ns
# MW Off:	-200 to +100 ns
# Top w/o Static:	0
# Static:	50 V
# Static Off:	NaN
i	f	n	nb	s	sb
0.000	-4646.520	1.000	0.000	0.048	0.040
1.000	-4646.420	1.000	0.000	0.044	0.040
2.000	-4646.220	1.000	0.000	0.052	0.040
3.000	-4645.920	1.000	0.000	0.044	0.040
4.000	-4645.820	1.000	0.000	0.048	0.040
5.000	-4645.620	1.000	0.000	0.044	0.040
6.000	-4645.420	1.000	0.000	0.044	0.040
7.000	-4645.220	1.000	0.000	0.040	0.040
8.000	-4645.020	1.000	0.000	0.042	0.040
9.000	-4644.820	1.000	0.000	0.041	0.040
10.000	-4644.620	1.000	0.000	0.046	0.040
11.000	-4644.020	1.000	0.000	0.037	0.040
12.000	-4643.820	1.000	0.000	0.042	0.040
13.000	-4643.520	1.000	0.000	0.042	0.040
14.000	-4643.220	1.000	0.000	0.038	0.040
15.000	-4642.920	1.000	0.000	0.037	0.040
16.000	-4642.620	1.000	0.000	0.042	0.040
17.000	-4642.520	1.000	0.000	0.041	0.040
18.000	-4642.120	1.000	0.000	0.042	0.040
19.000	-4641.620	1.000	0.000	0.045	0.040
20.000	-4641.320	1.000	0.000	0.042	0.040
21.000	-4640.920	1.000	0.000	0.037	0.040
22.000	-4640.520	1.000	0.000	0.041	0.040
23.000	-4640.120	1.000	0.000	0.037	0.040
24.000	-4639.820	1.000	0.000	0.043	0.040
25.000	-4639.620	1.000	0.000	0.047	0.040
26.000	-4639.220	1.000	0.000	0.038	0.040
27.000	-4638.820	1.000	0.000	0.038	0.040
28.000	-4638.620	1.000	0.000	0.035	0.040
29.000	-4638.020	1.000	0.000	0.046	0.040
30.000	-4637.720	1.000	0.000	0.039	0.040
31.000	-4637.420	1.000	0.000	0.049	0.040
32.000	-4637.120	1.000	0.000	0.051	0.040
33.000	-4636.720	1.000	0.000	0.041	0.040
34.000	-4636.520	1.000	0.000	0.030	0.040
35.000	-4636.120	1.000	0.000	0.045	0.040
36.000	-4635.820	1.000	0.000	0.053	0.040
37.000	-4635.420	1.000	0.000	0.044	0.040
38.000	-4634.920	1.000	0.000	0.045	0.040
39.000	-4634.520	1.000	0.000	0.038	0.040
40.000	-4634.120	1.000	0.000	0.042	0.040
41.000	-4633.920	1.000	0.000	0.034	0.040
42.000	-4633.620	1.000	0.000	0.039	0.040
43.000	-4633.420	1.000	0.000	0.054	0.040
