# Title: Dye Laser Frequency Scan, MW -20 dB, +50 V Static, Sideband strength vs. MW Power
# Note:	Dye Frequency Scan at n=27 +/- 3 f_MW , +50 V static, MW at -20 dB Attn. Looking for change in sideband strength with MW Power
# Type:	Frequency
# Hittite Freq:	18510.2 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	MAX
# MW Attn:	20.0 dB
# Delay:	1000 ns
# MW Off:	-200 to +100 ns
# Top w/o Static:	0
# Static:	0 V
# Static Off:	NaN
i	f	n	nb	s	sb
0.000	-4400.520	1.000	0.000	0.037	0.033
1.000	-4400.620	1.000	0.000	0.027	0.033
2.000	-4400.420	1.000	0.000	0.038	0.033
3.000	-4400.420	1.000	0.000	0.043	0.033
4.000	-4400.620	1.000	0.000	0.035	0.033
5.000	-4400.720	1.000	0.000	0.029	0.033
6.000	-4400.820	1.000	0.000	0.034	0.033
7.000	-4401.020	1.000	0.000	0.033	0.033
8.000	-4401.120	1.000	0.000	0.044	0.033
9.000	-4401.220	1.000	0.000	0.037	0.033
10.000	-4401.320	1.000	0.000	0.039	0.033
11.000	-4401.520	1.000	0.000	0.033	0.033
12.000	-4401.720	1.000	0.000	0.035	0.033
13.000	-4401.920	1.000	0.000	0.037	0.033
14.000	-4402.120	1.000	0.000	0.027	0.033
15.000	-4402.220	1.000	0.000	0.036	0.033
16.000	-4402.520	1.000	0.000	0.028	0.033
17.000	-4402.720	1.000	0.000	0.034	0.033
18.000	-4403.120	1.000	0.000	0.032	0.033
19.000	-4403.220	1.000	0.000	0.034	0.033
20.000	-4403.420	1.000	0.000	0.029	0.033
21.000	-4403.620	1.000	0.000	0.034	0.033
22.000	-4403.920	1.000	0.000	0.037	0.033
23.000	-4404.020	1.000	0.000	0.036	0.033
24.000	-4404.220	1.000	0.000	0.030	0.033
25.000	-4404.520	1.000	0.000	0.028	0.033
26.000	-4404.820	1.000	0.000	0.036	0.033
27.000	-4405.020	1.000	0.000	0.035	0.033
