# Filename	C:\Users\labuser\Documents\Data\2018-10-23\17_fscan.txt
# Date	2018-10-24-6:6
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	Hittite HMC-T2100 Connected to Splitter to Mixer to Doubler to -20 dB o Amp to Var Attn to Cavity. Var Attn at 9 dB. Laser at 27f with 40 V static. MW Pulse from Laser -200 ns to +100 ns. Looking for MW to shift.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18500000000.000	-0.001	0.105	0.094
18502000000.000	-0.001	0.108	0.094
18504000000.000	-0.001	0.117	0.088
18506000000.000	-0.001	0.128	0.092
18508000000.000	-0.001	0.230	0.088
18510000000.000	-0.001	0.295	0.089
18512000000.000	-0.001	0.206	0.096
18514000000.000	-0.001	0.120	0.092
18516000000.000	-0.001	0.109	0.085
18518000000.000	-0.001	0.096	0.087
18520000000.000	-0.001	0.095	0.097
18500200000.000	-0.001	0.106	0.081
18502200000.000	-0.001	0.089	0.093
18504200000.000	-0.001	0.119	0.095
18506200000.000	-0.001	0.151	0.090
18508200000.000	-0.001	0.246	0.081
18510200000.000	-0.001	0.279	0.089
18512200000.000	-0.001	0.189	0.096
18514200000.000	-0.001	0.123	0.079
18516200000.000	-0.001	0.110	0.095
18518200000.000	-0.001	0.109	0.094
18500400000.000	-0.001	0.107	0.092
18502400000.000	-0.001	0.100	0.091
18504400000.000	-0.001	0.109	0.097
18506400000.000	-0.001	0.137	0.093
18508400000.000	-0.001	0.253	0.092
18510400000.000	-0.001	0.273	0.091
18512400000.000	-0.001	0.194	0.094
18514400000.000	-0.001	0.113	0.095
18516400000.000	-0.001	0.116	0.089
18518400000.000	-0.001	0.100	0.104
18500600000.000	-0.001	0.098	0.092
18502600000.000	-0.001	0.107	0.099
18504600000.000	-0.001	0.123	0.091
18506600000.000	-0.001	0.149	0.098
18508600000.000	-0.001	0.263	0.095
18510600000.000	-0.001	0.280	0.093
18512600000.000	-0.001	0.166	0.097
18514600000.000	-0.001	0.120	0.095
18516600000.000	-0.001	0.103	0.086
18518600000.000	-0.001	0.096	0.084
18500800000.000	-0.001	0.105	0.096
18502800000.000	-0.001	0.100	0.089
18504800000.000	-0.001	0.117	0.096
18506800000.000	-0.001	0.169	0.086
18508800000.000	-0.001	0.268	0.097
18510800000.000	-0.001	0.277	0.094
18512800000.000	-0.001	0.163	0.089
18514800000.000	-0.001	0.125	0.082
18516800000.000	-0.001	0.098	0.102
18518800000.000	-0.001	0.103	0.083
18501000000.000	-0.001	0.081	0.081
18503000000.000	-0.001	0.101	0.088
18505000000.000	-0.001	0.120	0.093
18507000000.000	-0.001	0.174	0.094
18509000000.000	-0.001	0.257	0.087
18511000000.000	-0.001	0.255	0.090
18513000000.000	-0.001	0.154	0.095
18515000000.000	-0.001	0.121	0.090
18517000000.000	-0.001	0.109	0.083
18519000000.000	-0.001	0.091	0.089
18501200000.000	-0.001	0.102	0.096
18503200000.000	-0.001	0.117	0.093
18505200000.000	-0.001	0.119	0.104
18507200000.000	-0.001	0.193	0.100
18509200000.000	-0.001	0.274	0.097
18511200000.000	-0.001	0.272	0.096
18513200000.000	-0.001	0.141	0.095
18515200000.000	-0.001	0.105	0.091
18517200000.000	-0.001	0.105	0.086
18519200000.000	-0.001	0.088	0.094
18501400000.000	-0.001	0.104	0.098
18503400000.000	-0.001	0.111	0.096
18505400000.000	-0.001	0.127	0.100
18507400000.000	-0.001	0.194	0.090
18509400000.000	-0.001	0.292	0.083
18511400000.000	-0.001	0.233	0.087
18513400000.000	-0.001	0.140	0.086
18515400000.000	-0.001	0.116	0.084
18517400000.000	-0.001	0.097	0.081
18519400000.000	-0.001	0.097	0.093
18501600000.000	-0.001	0.096	0.096
18503600000.000	-0.001	0.105	0.093
18505600000.000	-0.001	0.124	0.084
18507600000.000	-0.001	0.197	0.105
18509600000.000	-0.001	0.290	0.088
18511600000.000	-0.001	0.241	0.084
18513600000.000	-0.001	0.129	0.091
18515600000.000	-0.001	0.113	0.090
18517600000.000	-0.001	0.092	0.088
18519600000.000	-0.001	0.102	0.081
18501800000.000	-0.001	0.100	0.093
18503800000.000	-0.001	0.124	0.096
18505800000.000	-0.001	0.131	0.086
18507800000.000	-0.001	0.211	0.099
18509800000.000	-0.001	0.285	0.094
18511800000.000	-0.001	0.210	0.087
18513800000.000	-0.001	0.142	0.080
18515800000.000	-0.001	0.119	0.091
18517800000.000	-0.001	0.116	0.090
18519800000.000	-0.001	0.105	0.094
