# Title: Diode Laser Delay Scan, 12 dB MW, phase of min signal.
# Note:	Diode Laser Delay Scan, 12 dB on Var Attn, 37.5 dB PM, 40 V Top to Bot, 27f. Using a small microwave field and modulation over a short phase delay to find the phase of minimum signal.
# Type:	Delay
# Hittite Freq:	18509.6 MHz
# Hittite: Power	14 dBm
# Laser Freq:	361351.7 GHz
# Target:	n=27, l=f, blue f-s of 2nd lowest stark state after 27d
# Laser Mod:	0.47 (0th band amplitude of 0.47 = J_0(0.80)^2)
# Laser Mod Attn:	37.5 dB
# MW Attn:	12 dB
# Delay:	1000 ns
# MW Off:	IR + 100 ns
# Top w/o Static:	-0.0054 V
# Static:	+40 V
# Static Off:	NaN
i	d	n	nb	s	sb
0.000	89705.000	1.000	0.000	0.222	-0.006
1.000	90775.000	1.000	0.000	0.218	-0.006
2.000	91844.000	1.000	0.000	0.191	-0.006
3.000	92914.000	1.000	0.000	0.156	-0.006
4.000	93984.000	1.000	0.000	0.160	-0.006
5.000	95053.000	1.000	0.000	0.125	-0.006
6.000	96123.000	1.000	0.000	0.135	-0.006
7.000	97192.000	1.000	0.000	0.143	-0.006
8.000	98262.000	1.000	0.000	0.155	-0.006
9.000	99332.000	1.000	0.000	0.176	-0.006
10.000	100401.000	1.000	0.000	0.221	-0.006
11.000	101471.000	1.000	0.000	0.241	-0.006
12.000	102540.000	1.000	0.000	0.266	-0.006
13.000	103610.000	1.000	0.000	0.243	-0.006
14.000	104679.000	1.000	0.000	0.247	-0.006
15.000	105749.000	1.000	0.000	0.244	-0.006
16.000	106819.000	1.000	0.000	0.210	-0.006
17.000	107888.000	1.000	0.000	0.179	-0.006
18.000	108958.000	1.000	0.000	0.154	-0.006
19.000	110027.000	1.000	0.000	0.142	-0.006
20.000	110295.000	1.000	0.000	0.139	-0.006
21.000	109225.000	1.000	0.000	0.143	-0.006
22.000	108156.000	1.000	0.000	0.187	-0.006
23.000	107086.000	1.000	0.000	0.198	-0.006
24.000	106016.000	1.000	0.000	0.226	-0.006
25.000	104947.000	1.000	0.000	0.239	-0.006
26.000	103877.000	1.000	0.000	0.258	-0.006
27.000	102808.000	1.000	0.000	0.256	-0.006
28.000	101738.000	1.000	0.000	0.242	-0.006
29.000	100668.000	1.000	0.000	0.224	-0.006
30.000	99599.000	1.000	0.000	0.212	-0.006
31.000	98529.000	1.000	0.000	0.176	-0.006
32.000	97460.000	1.000	0.000	0.167	-0.006
33.000	96390.000	1.000	0.000	0.153	-0.006
34.000	95321.000	1.000	0.000	0.139	-0.006
35.000	94251.000	1.000	0.000	0.138	-0.006
36.000	93181.000	1.000	0.000	0.160	-0.006
37.000	92112.000	1.000	0.000	0.176	-0.006
38.000	91042.000	1.000	0.000	0.193	-0.006
39.000	89973.000	1.000	0.000	0.221	-0.006
40.000	90240.000	1.000	0.000	0.218	-0.006
41.000	91310.000	1.000	0.000	0.200	-0.006
42.000	92379.000	1.000	0.000	0.184	-0.006
43.000	93449.000	1.000	0.000	0.146	-0.006
44.000	94518.000	1.000	0.000	0.140	-0.006
45.000	95588.000	1.000	0.000	0.113	-0.006
46.000	96658.000	1.000	0.000	0.131	-0.006
47.000	97727.000	1.000	0.000	0.153	-0.006
48.000	98797.000	1.000	0.000	0.184	-0.006
49.000	99866.000	1.000	0.000	0.195	-0.006
50.000	100936.000	1.000	0.000	0.213	-0.006
51.000	102005.000	1.000	0.000	0.230	-0.006
52.000	103075.000	1.000	0.000	0.245	-0.006
53.000	104145.000	1.000	0.000	0.239	-0.006
54.000	105214.000	1.000	0.000	0.250	-0.006
55.000	106284.000	1.000	0.000	0.223	-0.006
56.000	107353.000	1.000	0.000	0.211	-0.006
57.000	108423.000	1.000	0.000	0.182	-0.006
58.000	109492.000	1.000	0.000	0.166	-0.006
59.000	109760.000	1.000	0.000	0.143	-0.006
60.000	108690.000	1.000	0.000	0.152	-0.006
61.000	107621.000	1.000	0.000	0.182	-0.006
62.000	106551.000	1.000	0.000	0.230	-0.006
63.000	105482.000	1.000	0.000	0.234	-0.006
64.000	104412.000	1.000	0.000	0.256	-0.006
65.000	103342.000	1.000	0.000	0.272	-0.006
66.000	102273.000	1.000	0.000	0.246	-0.006
67.000	101203.000	1.000	0.000	0.224	-0.006
68.000	100134.000	1.000	0.000	0.221	-0.006
69.000	99064.000	1.000	0.000	0.206	-0.006
70.000	97995.000	1.000	0.000	0.170	-0.006
71.000	96925.000	1.000	0.000	0.160	-0.006
72.000	95855.000	1.000	0.000	0.142	-0.006
73.000	94786.000	1.000	0.000	0.129	-0.006
74.000	93716.000	1.000	0.000	0.140	-0.006
75.000	92647.000	1.000	0.000	0.143	-0.006
76.000	91577.000	1.000	0.000	0.182	-0.006
77.000	90508.000	1.000	0.000	0.235	-0.001
