# Title: Diode Laser Delay Scan, 21 dB MW, Long Scan.
# Note: Diode Laser Delay Scan, 21 dB on Var Attn, 36.5 dB PM, 40 V Top to Bot, 27f. Long scan to look striking.
# Type:	Delay
# Hittite Freq:	18509.7 MHz
# Hittite: Power	14 dBm
# Laser Freq:	361351.5 GHz
# Target:	n=27, l=f, blue f-s of 2nd lowest stark state after 27d
# Laser Mod:	0.90 (0.65 = J_0(0.90)^2) or 0.88 (0.16 = J_1(0.88))
# Laser Mod Attn:	36.5 dB
# MW Attn:	21 dB
# Delay:	1000 ns
# MW Off:	IR + 100 ns
# Top w/o Static:	-0.0022 V
# Static:	+40 V
# Static Off:	NaN
i	d	n	nb	s	sb
0.000	46805.000	0.261	-0.000	0.213	-0.000
1.000	48413.000	0.261	-0.000	0.214	-0.000
2.000	50021.000	0.261	-0.000	0.226	-0.000
3.000	51629.000	0.261	-0.000	0.233	-0.000
4.000	53237.000	0.261	-0.000	0.270	-0.000
5.000	54845.000	0.261	-0.000	0.250	-0.000
6.000	56453.000	0.261	-0.000	0.264	-0.000
7.000	58061.000	0.261	-0.000	0.246	-0.000
8.000	59668.000	0.261	-0.000	0.251	-0.000
9.000	61276.000	0.261	-0.000	0.220	-0.000
10.000	62884.000	0.261	-0.000	0.214	-0.000
11.000	64492.000	0.261	-0.000	0.209	-0.000
12.000	66100.000	0.261	-0.000	0.231	-0.000
13.000	67708.000	0.261	-0.000	0.235	-0.000
14.000	69316.000	0.261	-0.000	0.261	-0.000
15.000	70924.000	0.261	-0.000	0.265	-0.000
16.000	72532.000	0.261	-0.000	0.237	-0.000
17.000	74140.000	0.261	-0.000	0.243	-0.000
18.000	75747.000	0.261	-0.000	0.235	-0.000
19.000	77355.000	0.261	-0.000	0.216	-0.000
20.000	78963.000	0.261	-0.000	0.233	-0.000
21.000	80571.000	0.261	-0.000	0.226	-0.000
22.000	82179.000	0.261	-0.000	0.220	-0.000
23.000	83787.000	0.261	-0.000	0.237	-0.000
24.000	85395.000	0.261	-0.000	0.262	-0.000
25.000	87003.000	0.261	-0.000	0.287	-0.000
26.000	88611.000	0.261	-0.000	0.274	-0.000
27.000	90219.000	0.261	-0.000	0.246	-0.000
28.000	91826.000	0.261	-0.000	0.247	-0.000
29.000	93434.000	0.261	-0.000	0.230	-0.000
30.000	95042.000	0.261	-0.000	0.231	-0.000
31.000	96650.000	0.261	-0.000	0.236	-0.000
32.000	98258.000	0.261	-0.000	0.242	-0.000
33.000	99866.000	0.261	-0.000	0.253	-0.000
34.000	101474.000	0.261	-0.000	0.276	-0.000
35.000	103082.000	0.261	-0.000	0.266	-0.000
36.000	104690.000	0.261	-0.000	0.273	-0.000
37.000	106298.000	0.261	-0.000	0.254	-0.000
38.000	107906.000	0.261	-0.000	0.255	-0.000
39.000	109513.000	0.261	-0.000	0.251	-0.000
40.000	111121.000	0.261	-0.000	0.227	-0.000
41.000	112729.000	0.261	-0.000	0.236	-0.000
42.000	114337.000	0.261	-0.000	0.255	-0.000
43.000	115945.000	0.261	-0.000	0.262	-0.000
44.000	117553.000	0.261	-0.000	0.264	-0.000
45.000	119161.000	0.261	-0.000	0.261	-0.000
46.000	120769.000	0.261	-0.000	0.268	-0.000
47.000	122377.000	0.261	-0.000	0.263	-0.000
48.000	123985.000	0.261	-0.000	0.235	-0.000
49.000	125592.000	0.261	-0.000	0.242	-0.000
50.000	127200.000	0.261	-0.000	0.238	-0.000
51.000	128808.000	0.261	-0.000	0.222	-0.000
52.000	130416.000	0.261	-0.000	0.237	-0.000
53.000	132024.000	0.261	-0.000	0.246	-0.000
54.000	133632.000	0.261	-0.000	0.270	-0.000
55.000	135240.000	0.261	-0.000	0.268	-0.000
56.000	136848.000	0.261	-0.000	0.274	-0.000
57.000	138456.000	0.261	-0.000	0.252	-0.000
58.000	140064.000	0.261	-0.000	0.239	-0.000
59.000	141671.000	0.261	-0.000	0.222	-0.000
60.000	143279.000	0.261	-0.000	0.219	-0.000
61.000	144887.000	0.261	-0.000	0.251	-0.000
62.000	146495.000	0.261	-0.000	0.249	-0.000
63.000	148103.000	0.261	-0.000	0.255	-0.000
64.000	149711.000	0.261	-0.000	0.252	-0.000
65.000	151319.000	0.261	-0.000	0.254	-0.000
66.000	152927.000	0.261	-0.000	0.276	-0.000
67.000	153195.000	0.261	-0.000	0.260	-0.000
68.000	151587.000	0.261	-0.000	0.262	-0.000
69.000	149979.000	0.261	-0.000	0.264	-0.000
70.000	148371.000	0.261	-0.000	0.274	-0.000
71.000	146763.000	0.261	-0.000	0.219	-0.000
72.000	145155.000	0.261	-0.000	0.237	-0.000
73.000	143547.000	0.261	-0.000	0.225	-0.000
74.000	141939.000	0.261	-0.000	0.217	-0.000
75.000	140332.000	0.261	-0.000	0.240	-0.000
76.000	138724.000	0.261	-0.000	0.253	-0.000
77.000	137116.000	0.261	-0.000	0.253	-0.000
78.000	135508.000	0.261	-0.000	0.261	-0.000
79.000	133900.000	0.261	-0.000	0.255	-0.000
80.000	132292.000	0.261	-0.000	0.242	-0.000
81.000	130684.000	0.261	-0.000	0.240	-0.000
