# Title: Diode Laser Delay Scan, 9 dB MW, short check.
# Note: Diode Laser Delay Scan, 9 dB on Var Attn, 33.5 dB PM, 40 V Top to Bot, 27f. Making a short scan to check how the phsse dependence behaves.
# Type:	Delay
# Hittite Freq:	18509.9 MHz
# Hittite: Power	14 dBm
# Laser Freq:	361351.5 GHz
# Target:	n=27, l=f, blue f-s of 2nd lowest stark state after 27d
# Laser Mod:	1.28 (0th band amplitude of 0.39 = J_0(1.28)^2) or 1.33 (0.28 = J_1(1.33)^2)
# Laser Mod Attn:	33.5 dB
# MW Attn:	9 dB
# Delay:	1000 ns
# MW Off:	IR + 100 ns
# Top w/o Static:	-0.0022 V
# Static:	+40 V
# Static Off:	NaN
i	d	n	nb	s	sb
0.000	89704.000	0.256	-0.005	0.272	-0.005
1.000	90774.000	0.256	-0.005	0.198	-0.005
2.000	91844.000	0.256	-0.005	0.130	-0.005
3.000	92913.000	0.256	-0.005	0.062	-0.005
4.000	93983.000	0.256	-0.005	0.037	-0.005
5.000	95053.000	0.256	-0.005	0.022	-0.005
6.000	96122.000	0.256	-0.005	0.018	-0.005
7.000	97192.000	0.256	-0.005	0.049	-0.005
8.000	98262.000	0.256	-0.005	0.087	-0.005
9.000	99331.000	0.256	-0.005	0.153	-0.005
10.000	100401.000	0.256	-0.005	0.219	-0.005
11.000	101471.000	0.256	-0.005	0.275	-0.005
12.000	102540.000	0.256	-0.005	0.322	-0.005
13.000	103610.000	0.256	-0.005	0.325	-0.005
14.000	104680.000	0.256	-0.005	0.285	-0.005
15.000	105750.000	0.256	-0.005	0.236	-0.005
16.000	106819.000	0.256	-0.005	0.189	-0.005
17.000	107889.000	0.256	-0.005	0.108	-0.005
18.000	108959.000	0.256	-0.005	0.064	-0.005
19.000	110028.000	0.256	-0.005	0.042	-0.005
20.000	110296.000	0.256	-0.005	0.036	-0.005
21.000	109226.000	0.256	-0.005	0.058	-0.005
22.000	108156.000	0.256	-0.005	0.102	-0.005
23.000	107087.000	0.256	-0.005	0.163	-0.005
24.000	106017.000	0.256	-0.005	0.215	-0.005
25.000	104947.000	0.256	-0.005	0.285	-0.005
26.000	103878.000	0.256	-0.005	0.330	-0.005
27.000	102808.000	0.256	-0.005	0.314	-0.005
28.000	101738.000	0.256	-0.005	0.278	-0.005
29.000	100669.000	0.256	-0.005	0.222	-0.005
30.000	99599.000	0.256	-0.005	0.165	-0.005
31.000	98529.000	0.256	-0.005	0.108	-0.005
32.000	97460.000	0.256	-0.005	0.050	-0.005
33.000	96390.000	0.256	-0.005	0.021	-0.005
34.000	95320.000	0.256	-0.005	0.015	-0.005
35.000	94250.000	0.256	-0.005	0.024	-0.005
36.000	93181.000	0.256	-0.005	0.055	-0.005
37.000	92111.000	0.256	-0.005	0.114	-0.005
38.000	91041.000	0.256	-0.005	0.171	-0.005
39.000	89972.000	0.256	-0.005	0.223	-0.005
40.000	90239.000	0.256	-0.005	0.225	-0.005
41.000	91309.000	0.256	-0.005	0.155	-0.005
42.000	92379.000	0.256	-0.005	0.089	-0.005
43.000	93448.000	0.256	-0.005	0.043	-0.005
44.000	94518.000	0.256	-0.005	0.023	-0.005
45.000	95588.000	0.256	-0.005	0.018	-0.005
46.000	96657.000	0.256	-0.005	0.026	-0.005
47.000	97727.000	0.256	-0.005	0.078	-0.005
48.000	98797.000	0.256	-0.005	0.115	-0.005
49.000	99866.000	0.256	-0.005	0.182	-0.005
50.000	100936.000	0.256	-0.005	0.225	-0.005
51.000	102006.000	0.256	-0.005	0.286	-0.005
52.000	103075.000	0.256	-0.005	0.320	-0.005
53.000	104145.000	0.256	-0.005	0.326	-0.005
54.000	105215.000	0.256	-0.005	0.278	-0.005
55.000	106284.000	0.256	-0.005	0.226	-0.005
56.000	107354.000	0.256	-0.005	0.159	-0.005
57.000	108424.000	0.256	-0.005	0.085	-0.005
58.000	109493.000	0.256	-0.005	0.047	-0.005
59.000	109761.000	0.256	-0.005	0.031	-0.005
60.000	108691.000	0.256	-0.005	0.080	-0.005
61.000	107621.000	0.256	-0.005	0.147	-0.005
62.000	106552.000	0.256	-0.005	0.209	-0.005
63.000	105482.000	0.256	-0.005	0.262	-0.005
64.000	104412.000	0.256	-0.005	0.305	-0.005
65.000	103343.000	0.256	-0.005	0.328	-0.005
66.000	102273.000	0.256	-0.005	0.307	-0.005
67.000	101203.000	0.256	-0.005	0.283	-0.005
68.000	100134.000	0.256	-0.005	0.218	-0.005
69.000	99064.000	0.256	-0.005	0.130	-0.005
70.000	97994.000	0.256	-0.005	0.084	-0.005
71.000	96925.000	0.256	-0.005	0.039	-0.005
72.000	95855.000	0.256	-0.005	0.026	-0.005
73.000	94785.000	0.256	-0.005	0.011	-0.005
74.000	93716.000	0.256	-0.005	0.037	-0.005
75.000	92646.000	0.256	-0.005	0.088	-0.005
76.000	91576.000	0.256	-0.005	0.145	-0.005
77.000	90507.000	0.256	-0.005	0.210	-0.005
