# Title: MWBlink QuickScan
# Note:	Scan of 27f in +40 V (6.6 V/cm) and no PM, with MW ON (s) at +18.6 dBm and OFF (r) at -20 dBm on Hittite.
# Type:	DL-Pro Frequency Scan at 1000 samples/s
# Hittite Freq:	18510.5 MHz
# Hittite: Power	18.6 dBm
# Laser Freq:	361351.8 GHz (Start, scans Red-ward)
# Target:	27f in 40 V
# Laser Mod:	NaN
# Laser Mod Attn:	MAX
# MW Attn:	9 dB
# Delay:	1000 ns
# MW Off:	IR + 100 ns
# Top w/o Static:	-0.0010 V
# Static:	+40 V
# Static Off:	NaN
b	r	s
0.004	-0.046	-0.129
0.013	-0.055	-0.140
0.004	-0.061	-0.169
0.005	-0.044	-0.137
0.015	-0.059	-0.099
0.013	-0.039	-0.103
0.016	-0.062	-0.125
0.012	-0.048	-0.115
-0.003	-0.093	-0.115
-0.001	-0.068	-0.135
0.011	-0.060	-0.137
0.015	-0.047	-0.136
0.010	-0.035	-0.121
0.021	-0.052	-0.128
0.009	-0.046	-0.148
0.006	-0.084	-0.114
-0.001	-0.070	-0.124
0.006	-0.059	-0.123
-0.002	-0.064	-0.151
0.011	-0.067	-0.131
-0.005	-0.059	-0.151
0.001	-0.075	-0.155
0.017	-0.079	-0.118
0.007	-0.084	-0.125
0.005	-0.056	-0.077
0.008	-0.075	-0.113
0.011	-0.051	-0.114
0.015	-0.064	-0.121
0.008	-0.073	-0.150
0.016	-0.055	-0.139
0.016	-0.091	-0.134
0.007	-0.079	-0.133
0.017	-0.036	-0.128
0.008	-0.030	-0.124
0.011	-0.049	-0.140
0.000	-0.081	-0.139
0.014	-0.062	-0.125
0.004	-0.062	-0.140
0.001	-0.038	-0.147
0.015	-0.047	-0.131
0.018	-0.054	-0.096
0.010	-0.059	-0.118
0.013	-0.063	-0.144
0.004	-0.052	-0.141
0.015	-0.043	-0.168
0.007	-0.064	-0.176
0.017	-0.076	-0.153
0.020	-0.072	-0.152
0.014	-0.067	-0.139
0.003	-0.057	-0.157
0.005	-0.044	-0.154
0.011	-0.065	-0.146
0.004	-0.047	-0.151
0.004	-0.057	-0.137
0.009	-0.047	-0.142
0.011	-0.063	-0.133
0.015	-0.047	-0.149
0.003	-0.069	-0.181
0.010	-0.071	-0.136
0.006	-0.046	-0.142
0.002	-0.072	-0.142
0.020	-0.080	-0.135
0.017	-0.070	-0.173
0.012	-0.063	-0.118
0.007	-0.055	-0.131
0.012	-0.074	-0.160
0.001	-0.078	-0.154
0.012	-0.065	-0.175
0.004	-0.062	-0.146
0.013	-0.060	-0.136
0.002	-0.033	-0.170
0.006	-0.034	-0.156
0.013	-0.067	-0.154
0.013	-0.069	-0.155
0.005	-0.060	-0.159
0.006	-0.076	-0.165
0.011	-0.069	-0.154
0.014	-0.065	-0.162
0.016	-0.036	-0.194
0.013	-0.038	-0.168
0.017	-0.044	-0.205
0.003	-0.057	-0.169
0.012	-0.072	-0.119
0.006	-0.072	-0.171
0.008	-0.056	-0.158
-0.000	-0.081	-0.204
0.009	-0.048	-0.160
0.005	-0.055	-0.191
0.007	-0.081	-0.242
0.019	-0.082	-0.176
0.011	-0.075	-0.170
0.012	-0.065	-0.173
0.016	-0.029	-0.200
0.008	-0.072	-0.219
0.018	-0.072	-0.200
0.006	-0.044	-0.201
0.011	-0.048	-0.163
0.013	-0.064	-0.182
0.003	-0.050	-0.171
0.000	-0.070	-0.184
0.006	-0.056	-0.161
0.010	-0.055	-0.206
0.005	-0.068	-0.153
0.007	-0.049	-0.141
0.012	-0.041	-0.158
0.014	-0.041	-0.139
0.012	-0.070	-0.173
0.009	-0.063	-0.201
0.006	-0.073	-0.147
0.007	-0.078	-0.189
0.006	-0.049	-0.162
0.013	-0.061	-0.145
0.010	-0.060	-0.166
0.012	-0.045	-0.169
0.009	-0.059	-0.240
0.002	-0.075	-0.191
-0.001	-0.061	-0.186
0.007	-0.065	-0.182
-0.001	-0.079	-0.169
0.006	-0.049	-0.178
-0.006	-0.031	-0.173
0.002	-0.038	-0.202
0.018	-0.051	-0.194
0.011	-0.070	-0.164
0.004	-0.086	-0.258
0.014	-0.080	-0.173
0.016	-0.074	-0.175
0.018	-0.082	-0.192
0.009	-0.058	-0.174
0.023	-0.063	-0.172
0.018	-0.069	-0.164
0.015	-0.049	-0.187
0.013	-0.086	-0.160
0.005	-0.071	-0.203
0.015	-0.083	-0.182
-0.007	-0.052	-0.159
0.009	-0.055	-0.214
0.010	-0.049	-0.226
0.014	-0.038	-0.226
0.015	-0.061	-0.186
0.015	-0.062	-0.140
0.011	-0.057	-0.202
0.009	-0.051	-0.184
0.009	-0.059	-0.193
0.013	-0.074	-0.175
0.011	-0.076	-0.165
0.011	-0.072	-0.212
0.010	-0.050	-0.151
0.000	-0.070	-0.143
0.003	-0.064	-0.179
0.012	-0.063	-0.187
0.019	-0.051	-0.168
0.006	-0.045	-0.191
0.008	-0.061	-0.179
0.014	-0.039	-0.161
0.016	-0.046	-0.200
0.014	-0.071	-0.181
0.004	-0.051	-0.199
0.003	-0.089	-0.165
0.003	-0.046	-0.189
0.006	-0.039	-0.139
0.014	-0.053	-0.209
0.015	-0.031	-0.214
0.014	-0.026	-0.182
0.008	-0.033	-0.192
0.006	-0.055	-0.205
-0.000	-0.061	-0.166
0.006	-0.072	-0.197
-0.003	-0.049	-0.161
0.013	-0.062	-0.179
-0.002	-0.042	-0.215
0.001	-0.058	-0.209
0.010	-0.049	-0.206
0.009	-0.060	-0.203
0.003	-0.040	-0.193
0.008	-0.060	-0.189
0.006	-0.073	-0.151
0.017	-0.051	-0.213
0.013	-0.055	-0.167
0.014	-0.044	-0.206
0.016	-0.034	-0.164
0.009	-0.082	-0.215
0.012	-0.065	-0.217
0.011	-0.058	-0.196
0.009	-0.048	-0.203
-0.001	-0.061	-0.193
0.004	-0.094	-0.216
0.002	-0.068	-0.191
0.005	-0.056	-0.166
0.019	-0.043	-0.191
0.016	-0.054	-0.191
0.006	-0.048	-0.199
0.007	-0.055	-0.195
0.004	-0.033	-0.232
0.010	-0.064	-0.189
0.005	-0.055	-0.192
0.013	-0.046	-0.206
0.011	-0.052	-0.220
0.001	-0.049	-0.227
0.003	-0.049	-0.188
0.007	-0.043	-0.204
0.014	-0.089	-0.182
0.007	-0.068	-0.193
0.010	-0.061	-0.189
0.012	-0.052	-0.196
0.011	-0.067	-0.183
0.013	-0.075	-0.164
0.004	-0.063	-0.148
0.003	-0.050	-0.186
0.003	-0.058	-0.193
0.012	-0.080	-0.208
0.009	-0.112	-0.159
0.010	-0.074	-0.149
0.010	-0.049	-0.150
0.009	-0.038	-0.151
0.007	-0.073	-0.158
0.004	-0.052	-0.225
0.008	-0.055	-0.199
0.001	-0.084	-0.181
0.019	-0.065	-0.191
-0.002	-0.045	-0.181
-0.002	-0.047	-0.157
0.010	-0.057	-0.196
0.011	-0.057	-0.176
0.008	-0.073	-0.164
0.010	-0.078	-0.177
0.012	-0.061	-0.197
0.015	-0.064	-0.189
0.007	-0.053	-0.208
0.019	-0.072	-0.198
0.016	-0.059	-0.164
0.009	-0.047	-0.189
0.009	-0.055	-0.191
0.005	-0.060	-0.174
0.009	-0.056	-0.178
0.004	-0.044	-0.169
0.009	-0.046	-0.213
0.007	-0.047	-0.171
0.012	-0.062	-0.191
0.014	-0.055	-0.144
0.003	-0.050	-0.212
0.006	-0.075	-0.214
0.009	-0.063	-0.165
0.003	-0.048	-0.153
0.012	-0.067	-0.186
0.012	-0.058	-0.162
0.018	-0.071	-0.130
0.009	-0.079	-0.154
0.002	-0.059	-0.143
-0.001	-0.048	-0.143
0.014	-0.077	-0.120
0.014	-0.069	-0.172
0.004	-0.085	-0.245
0.002	-0.074	-0.186
0.008	-0.076	-0.188
0.011	-0.068	-0.151
0.019	-0.079	-0.157
0.004	-0.068	-0.136
0.005	-0.067	-0.108
0.004	-0.045	-0.110
0.003	-0.059	-0.140
0.008	-0.080	-0.150
0.015	-0.072	-0.136
0.013	-0.059	-0.110
0.008	-0.081	-0.133
0.005	-0.099	-0.157
0.007	-0.076	-0.149
0.010	-0.034	-0.141
0.005	-0.044	-0.142
0.018	-0.065	-0.149
-0.004	-0.055	-0.139
0.006	-0.081	-0.118
0.018	-0.072	-0.158
0.011	-0.087	-0.150
0.009	-0.070	-0.128
0.016	-0.100	-0.133
0.008	-0.087	-0.132
0.014	-0.094	-0.159
0.006	-0.076	-0.138
0.013	-0.081	-0.162
0.017	-0.118	-0.144
0.010	-0.068	-0.126
0.013	-0.085	-0.131
0.009	-0.076	-0.132
0.011	-0.060	-0.155
0.003	-0.060	-0.170
0.008	-0.052	-0.136
0.005	-0.029	-0.153
0.004	-0.066	-0.149
0.012	-0.089	-0.149
0.010	-0.101	-0.103
0.011	-0.073	-0.137
0.013	-0.058	-0.095
0.011	-0.090	-0.116
0.016	-0.076	-0.130
0.010	-0.080	-0.161
0.016	-0.062	-0.167
0.009	-0.077	-0.156
-0.006	-0.050	-0.130
0.003	-0.072	-0.134
0.008	-0.067	-0.154
0.013	-0.068	-0.144
0.007	-0.077	-0.134
0.009	-0.048	-0.080
0.007	-0.027	-0.109
0.010	-0.046	-0.101
0.017	-0.060	-0.109
0.009	-0.047	-0.131
0.004	-0.076	-0.156
0.011	-0.079	-0.144
0.005	-0.080	-0.097
0.009	-0.088	-0.139
0.006	-0.064	-0.129
0.013	-0.091	-0.177
0.004	-0.071	-0.111
0.001	-0.067	-0.109
-0.002	-0.046	-0.124
0.001	-0.061	-0.112
-0.002	-0.098	-0.132
0.011	-0.069	-0.134
-0.003	-0.074	-0.078
0.006	-0.061	-0.052
0.011	-0.058	-0.087
0.007	-0.084	-0.117
0.005	-0.078	-0.079
0.010	-0.089	-0.096
0.008	-0.079	-0.083
0.012	-0.072	-0.104
0.013	-0.076	-0.155
0.015	-0.083	-0.096
0.015	-0.100	-0.134
0.008	-0.075	-0.086
0.012	-0.076	-0.101
0.008	-0.070	-0.121
0.011	-0.066	-0.103
0.002	-0.103	-0.093
0.012	-0.081	-0.110
0.006	-0.092	-0.084
0.003	-0.121	-0.094
0.010	-0.081	-0.068
0.011	-0.103	-0.077
0.012	-0.091	-0.095
0.011	-0.079	-0.110
0.005	-0.097	-0.125
0.007	-0.081	-0.077
0.006	-0.080	-0.093
0.008	-0.091	-0.110
0.012	-0.074	-0.104
0.005	-0.081	-0.114
0.001	-0.070	-0.104
0.008	-0.046	-0.095
0.013	-0.064	-0.097
0.005	-0.080	-0.077
0.008	-0.077	-0.114
0.014	-0.082	-0.130
0.006	-0.078	-0.095
0.011	-0.095	-0.093
0.009	-0.065	-0.116
0.004	-0.073	-0.150
0.014	-0.106	-0.109
0.009	-0.093	-0.101
0.016	-0.087	-0.116
0.015	-0.078	-0.081
0.019	-0.060	-0.086
0.014	-0.076	-0.108
0.008	-0.074	-0.083
0.006	-0.065	-0.097
0.009	-0.055	-0.069
0.002	-0.065	-0.065
0.016	-0.046	-0.069
-0.001	-0.050	-0.090
0.010	-0.084	-0.075
0.021	-0.092	-0.077
0.018	-0.093	-0.091
0.006	-0.058	-0.095
0.009	-0.079	-0.109
0.006	-0.068	-0.130
0.012	-0.057	-0.120
0.010	-0.074	-0.093
0.014	-0.075	-0.092
0.012	-0.045	-0.066
0.008	-0.036	-0.085
0.010	-0.078	-0.060
0.008	-0.088	-0.064
0.022	-0.063	-0.105
0.008	-0.061	-0.083
0.019	-0.061	-0.081
0.008	-0.058	-0.063
0.010	-0.050	-0.065
0.015	-0.091	-0.094
0.016	-0.081	-0.049
0.006	-0.092	-0.062
0.009	-0.101	-0.089
0.005	-0.095	-0.085
0.015	-0.071	-0.063
0.004	-0.043	-0.075
0.004	-0.060	-0.089
0.011	-0.050	-0.107
-0.000	-0.102	-0.070
0.003	-0.090	-0.055
0.003	-0.106	-0.046
0.004	-0.087	-0.070
0.001	-0.083	-0.052
0.010	-0.106	-0.064
0.010	-0.105	-0.076
0.006	-0.064	-0.074
0.010	-0.085	-0.094
0.000	-0.083	-0.107
0.003	-0.074	-0.096
0.009	-0.065	-0.067
0.008	-0.079	-0.065
0.010	-0.089	-0.075
0.011	-0.083	-0.078
0.009	-0.094	-0.064
0.005	-0.067	-0.065
0.008	-0.074	-0.084
0.001	-0.090	-0.095
0.004	-0.076	-0.071
0.003	-0.098	-0.061
0.009	-0.094	-0.046
0.003	-0.068	-0.073
0.006	-0.083	-0.063
0.018	-0.084	-0.055
0.012	-0.099	-0.069
0.006	-0.080	-0.073
0.015	-0.097	-0.079
0.010	-0.131	-0.081
0.011	-0.092	-0.061
0.003	-0.078	-0.061
0.017	-0.082	-0.055
0.016	-0.075	-0.062
0.016	-0.105	-0.063
0.011	-0.092	-0.066
0.010	-0.089	-0.071
0.019	-0.079	-0.074
-0.005	-0.106	-0.084
0.012	-0.103	-0.072
0.009	-0.118	-0.061
0.005	-0.097	-0.086
0.013	-0.065	-0.096
0.011	-0.074	-0.077
0.011	-0.065	-0.066
0.015	-0.095	-0.052
0.008	-0.094	-0.068
0.012	-0.089	-0.076
0.008	-0.102	-0.101
0.017	-0.066	-0.068
0.012	-0.072	-0.125
-0.003	-0.104	-0.079
0.002	-0.104	-0.068
0.008	-0.093	-0.054
0.007	-0.069	-0.070
0.006	-0.101	-0.068
0.009	-0.101	-0.037
0.008	-0.101	-0.049
0.011	-0.087	-0.062
0.017	-0.088	-0.086
0.007	-0.077	-0.095
0.007	-0.067	-0.066
0.011	-0.053	-0.039
0.006	-0.085	-0.047
0.018	-0.104	-0.062
0.015	-0.093	-0.062
0.016	-0.093	-0.035
0.012	-0.072	-0.056
0.003	-0.089	-0.072
0.004	-0.095	-0.078
0.009	-0.104	-0.096
0.003	-0.090	-0.066
0.011	-0.070	-0.082
-0.000	-0.087	-0.058
0.003	-0.082	-0.055
0.017	-0.123	-0.077
0.008	-0.130	-0.094
0.008	-0.127	-0.085
0.009	-0.113	-0.076
0.006	-0.101	-0.046
0.015	-0.076	-0.080
0.009	-0.119	-0.038
0.021	-0.094	-0.078
0.021	-0.109	-0.070
0.012	-0.142	-0.036
0.011	-0.136	-0.033
0.010	-0.103	-0.070
0.010	-0.113	-0.052
-0.006	-0.118	-0.074
0.013	-0.110	-0.076
0.017	-0.091	-0.050
0.003	-0.072	-0.068
0.007	-0.116	-0.052
0.013	-0.092	-0.077
0.007	-0.124	-0.054
0.013	-0.124	-0.056
0.004	-0.078	-0.076
0.012	-0.086	-0.067
0.007	-0.092	-0.063
0.011	-0.071	-0.066
0.013	-0.093	-0.077
0.002	-0.135	-0.049
0.010	-0.111	-0.046
0.012	-0.102	-0.086
0.019	-0.100	-0.061
