# Looking for signal as a function of PM at 9 dB MW Attn.
# MW Attn at 9 dB
aoff	zero	a0	a1	pmatt	b	soff1	son1	soff2	son2
96.8	2.6	96.8	96.8	-70	-70	-0.006451	0.156831	0.166860	0.169129	0.160448
96.8	2.6	57.6	21.2	-38	-0.002873	0.149103	0.047163	0.161632	0.200271
97.6	2.6	86.4	8.20	-44	-0.007661	0.152786	0.110234	0.149366	0.181428
96.0	2.6	6.8	37.2	-32	-0.008769	0.149399	0.077975	0.155910	0.152161
95.2	2.6	72.8	13.0	-41	-0.009266	0.136772	0.074786	0.147525	0.178567
96.8	2.6	30.4	31.8	-35	-0.007349	0.146900	0.024966	0.155121	0.183861
96.0	2.6	12.0	37.2	-33	-0.005066	0.146768	0.068209	0.160218	0.173733
96.8	2.6	93.6	4.72	-50	-0.006283	0.149136	0.133122	0.160317	0.173108
96.0	2.6	21.2	35.2	-34	-0.006382	0.137923	0.043250	0.141277	0.181066
95.2	2.6	40.0	28.4	-36	-0.007016	0.147262	0.005433	0.148215	0.180738
96.0	2.6	48.0	24.4	-37	-0.007510	0.141573	0.017765	0.150846	0.195009
96.8	2.6	11.2	31.6	-30	-0.006046	0.156732	0.101652	0.156897	0.096686
96.8	2.6	7.2	33.0	-31	-0.005487	0.155812	0.088465	0.147492	0.126315
