# Title: Diode Laser Delay Scan, 9 dB MW, Long Scan.
# Note: Diode Laser Delay Scan, 9 dB on Var Attn, 43 dB PM, 55.76 V Top to Bot, n=27 l=3 +1 sideband. Full Scan.
# Type:	Delay
# Hittite Freq:	18511.0 MHz
# Hittite: Power	18.6 dBm
# Laser Freq:	361385.7 GHz
# Target:	n=27 l=3 +1 mW sideband in 56.76 V
# Laser Mod:	0th: 0.58, 1st: 0.54
# Laser Mod Attn:	43 dB
# MW Attn:	9 dB
# Delay:	1000 ns
# MW Off:	IR + 100 ns
# Top w/o Static:	+0.0060 V
# Static:	+55.76 V (9.2 V/cm)
# Static Off:	NaN
i	d	n	nb	s	sb
0.000	46809.000	1.000	0.000	0.101	-0.013
1.000	47881.000	1.000	0.000	0.123	-0.013
2.000	48953.000	1.000	0.000	0.129	-0.013
3.000	50025.000	1.000	0.000	0.137	-0.013
4.000	51096.000	1.000	0.000	0.119	-0.013
5.000	52168.000	1.000	0.000	0.109	-0.013
6.000	53240.000	1.000	0.000	0.120	-0.013
7.000	54312.000	1.000	0.000	0.106	-0.013
8.000	55384.000	1.000	0.000	0.094	-0.013
9.000	56456.000	1.000	0.000	0.077	-0.013
10.000	57528.000	1.000	0.000	0.061	-0.013
11.000	58599.000	1.000	0.000	0.053	-0.013
12.000	59671.000	1.000	0.000	0.048	-0.013
13.000	60743.000	1.000	0.000	0.064	-0.013
14.000	61815.000	1.000	0.000	0.075	-0.013
15.000	62887.000	1.000	0.000	0.094	-0.013
16.000	63959.000	1.000	0.000	0.096	-0.013
17.000	65031.000	1.000	0.000	0.087	-0.013
18.000	66102.000	1.000	0.000	0.094	-0.013
19.000	67174.000	1.000	0.000	0.093	-0.013
20.000	68246.000	1.000	0.000	0.076	-0.013
21.000	69318.000	1.000	0.000	0.084	-0.013
22.000	70390.000	1.000	0.000	0.096	-0.013
23.000	71462.000	1.000	0.000	0.081	-0.013
24.000	72534.000	1.000	0.000	0.093	-0.013
25.000	73605.000	1.000	0.000	0.080	-0.013
26.000	74677.000	1.000	0.000	0.063	-0.013
27.000	75749.000	1.000	0.000	0.067	-0.013
28.000	76821.000	1.000	0.000	0.093	-0.013
