# Diode Laser Delay Scan w/ MW and PM
# MW at 19 dB, Phase Modulation at 32.5 dB (~1.4)
# Center at -10 GHz
# Hittite at 18.6 dBm and 18510.1 MHz
i	d	n	nb	s	sb
0.000	46806.000	1.000	0.000	0.057	-0.004
1.000	47878.000	1.000	0.000	0.060	-0.004
2.000	48950.000	1.000	0.000	0.053	-0.004
3.000	50022.000	1.000	0.000	0.043	-0.004
4.000	51094.000	1.000	0.000	0.045	-0.004
5.000	52166.000	1.000	0.000	0.035	-0.004
6.000	53238.000	1.000	0.000	0.047	-0.004
7.000	54310.000	1.000	0.000	0.043	-0.004
8.000	55382.000	1.000	0.000	0.054	-0.004
9.000	56454.000	1.000	0.000	0.053	-0.004
10.000	57525.000	1.000	0.000	0.044	-0.004
11.000	58597.000	1.000	0.000	0.036	-0.004
12.000	59669.000	1.000	0.000	0.054	-0.004
13.000	60741.000	1.000	0.000	0.035	-0.004
14.000	61813.000	1.000	0.000	0.051	-0.004
15.000	62885.000	1.000	0.000	0.062	-0.004
16.000	63957.000	1.000	0.000	0.043	-0.004
17.000	65029.000	1.000	0.000	0.046	-0.004
18.000	66101.000	1.000	0.000	0.036	-0.004
19.000	67173.000	1.000	0.000	0.029	-0.004
20.000	68245.000	1.000	0.000	0.030	-0.004
21.000	69317.000	1.000	0.000	0.030	-0.004
22.000	70388.000	1.000	0.000	0.045	-0.004
23.000	71460.000	1.000	0.000	0.043	-0.004
24.000	72532.000	1.000	0.000	0.047	-0.004
25.000	73604.000	1.000	0.000	0.035	-0.004
26.000	74676.000	1.000	0.000	0.034	-0.004
27.000	75748.000	1.000	0.000	0.033	-0.004
28.000	76820.000	1.000	0.000	0.034	-0.004
29.000	77892.000	1.000	0.000	0.042	-0.004
30.000	78964.000	1.000	0.000	0.055	-0.004
31.000	80036.000	1.000	0.000	0.054	-0.004
32.000	81108.000	1.000	0.000	0.058	-0.004
33.000	82179.000	1.000	0.000	0.042	-0.004
34.000	83251.000	1.000	0.000	0.042	-0.004
35.000	84323.000	1.000	0.000	0.037	-0.004
36.000	85395.000	1.000	0.000	0.043	-0.004
37.000	86467.000	1.000	0.000	0.049	-0.004
38.000	87539.000	1.000	0.000	0.056	-0.004
39.000	88611.000	1.000	0.000	0.046	-0.004
