# Delay Scan
# Diode Laser at 365899 GHz
# PM at 35 dB (Coeff is 1.4) (Cooled Amp has different characteristics)
# MW Attn at 19 dB, off at Lasers + 30 ns
# Hittite at 18.5106 GHz and 18.6 dBm
# +40 mV Static applied to Top, until Lasers + 30 ns
i	d	n	nb	s	sb
0.000	82841.000	1.000	0.000	0.046	0.017
1.000	83914.000	1.000	0.000	0.037	0.017
2.000	84986.000	1.000	0.000	0.043	0.017
3.000	86058.000	1.000	0.000	0.033	0.017
4.000	87131.000	1.000	0.000	0.026	0.017
5.000	88203.000	1.000	0.000	0.033	0.017
6.000	89276.000	1.000	0.000	0.035	0.017
7.000	90348.000	1.000	0.000	0.041	0.017
8.000	91421.000	1.000	0.000	0.033	0.017
9.000	92493.000	1.000	0.000	0.031	0.017
10.000	93565.000	1.000	0.000	0.036	0.017
11.000	94638.000	1.000	0.000	0.036	0.017
12.000	95710.000	1.000	0.000	0.035	0.017
13.000	96783.000	1.000	0.000	0.035	0.017
14.000	97855.000	1.000	0.000	0.033	0.017
15.000	98928.000	1.000	0.000	0.045	0.017
16.000	100000.000	1.000	0.000	0.040	0.017
17.000	101072.000	1.000	0.000	0.033	0.017
18.000	102145.000	1.000	0.000	0.038	0.017
19.000	103217.000	1.000	0.000	0.035	0.017
20.000	104290.000	1.000	0.000	0.025	0.017
21.000	105362.000	1.000	0.000	0.044	0.017
22.000	106435.000	1.000	0.000	0.037	0.017
23.000	107507.000	1.000	0.000	0.038	0.017
24.000	108579.000	1.000	0.000	0.044	0.017
25.000	109652.000	1.000	0.000	0.038	0.017
26.000	110724.000	1.000	0.000	0.039	0.017
27.000	111797.000	1.000	0.000	0.040	0.017
28.000	112869.000	1.000	0.000	0.034	0.017
29.000	113942.000	1.000	0.000	0.042	0.017
30.000	115014.000	1.000	0.000	0.039	0.017
31.000	116086.000	1.000	0.000	0.036	0.017
32.000	117159.000	1.000	0.000	0.038	0.017
33.000	116354.000	1.000	0.000	0.036	0.017
34.000	115282.000	1.000	0.000	0.036	0.017
35.000	114210.000	1.000	0.000	0.045	0.017
36.000	113137.000	1.000	0.000	0.038	0.017
37.000	112065.000	1.000	0.000	0.042	0.017
38.000	110992.000	1.000	0.000	0.037	0.017
39.000	109920.000	1.000	0.000	0.039	0.017
40.000	108847.000	1.000	0.000	0.038	0.017
41.000	107775.000	1.000	0.000	0.044	0.017
42.000	106703.000	1.000	0.000	0.049	0.017
43.000	105630.000	1.000	0.000	0.048	0.017
44.000	104558.000	1.000	0.000	0.031	0.017
45.000	103485.000	1.000	0.000	0.032	0.017
46.000	102413.000	1.000	0.000	0.029	0.017
47.000	101341.000	1.000	0.000	0.029	0.017
48.000	100268.000	1.000	0.000	0.040	0.017
49.000	99196.000	1.000	0.000	0.047	0.017
50.000	98123.000	1.000	0.000	0.041	0.017
51.000	97051.000	1.000	0.000	0.041	0.017
52.000	95978.000	1.000	0.000	0.042	0.017
53.000	94906.000	1.000	0.000	0.037	0.017
54.000	93834.000	1.000	0.000	0.043	0.017
55.000	92761.000	1.000	0.000	0.039	0.017
56.000	91689.000	1.000	0.000	0.044	0.017
57.000	90616.000	1.000	0.000	0.045	0.017
58.000	89544.000	1.000	0.000	0.048	0.017
59.000	88471.000	1.000	0.000	0.034	0.017
60.000	87399.000	1.000	0.000	0.036	0.017
61.000	86327.000	1.000	0.000	0.044	0.017
62.000	85254.000	1.000	0.000	0.048	0.017
63.000	84182.000	1.000	0.000	0.045	0.017
64.000	83109.000	1.000	0.000	0.049	0.017
65.000	83377.000	1.000	0.000	0.039	0.017
66.000	84450.000	1.000	0.000	0.043	0.017
67.000	85522.000	1.000	0.000	0.040	0.017
68.000	86595.000	1.000	0.000	0.031	0.017
69.000	87667.000	1.000	0.000	0.035	0.017
70.000	88740.000	1.000	0.000	0.043	0.017
71.000	89812.000	1.000	0.000	0.038	0.017
72.000	90884.000	1.000	0.000	0.055	0.017
73.000	91957.000	1.000	0.000	0.039	0.017
74.000	93029.000	1.000	0.000	0.043	0.017
75.000	94102.000	1.000	0.000	0.035	0.017
76.000	95174.000	1.000	0.000	0.043	0.017
77.000	96247.000	1.000	0.000	0.032	0.017
78.000	97319.000	1.000	0.000	0.037	0.017
79.000	98391.000	1.000	0.000	0.038	0.017
80.000	99464.000	1.000	0.000	0.038	0.017
81.000	100536.000	1.000	0.000	0.038	0.017
82.000	101609.000	1.000	0.000	0.039	0.017
83.000	102681.000	1.000	0.000	0.030	0.017
84.000	103753.000	1.000	0.000	0.027	0.017
85.000	104826.000	1.000	0.000	0.037	0.017
86.000	105898.000	1.000	0.000	0.046	0.017
87.000	106971.000	1.000	0.000	0.040	0.017
88.000	108043.000	1.000	0.000	0.042	0.017
89.000	109116.000	1.000	0.000	0.044	0.017
90.000	110188.000	1.000	0.000	0.045	0.017
91.000	111260.000	1.000	0.000	0.030	0.017
92.000	112333.000	1.000	0.000	0.042	0.017
93.000	113405.000	1.000	0.000	0.039	0.017
94.000	114478.000	1.000	0.000	0.050	0.017
95.000	115550.000	1.000	0.000	0.046	0.017
96.000	116623.000	1.000	0.000	0.046	0.017
97.000	116891.000	1.000	0.000	0.040	0.017
98.000	115818.000	1.000	0.000	0.041	0.017
99.000	114746.000	1.000	0.000	0.042	0.017
100.000	113673.000	1.000	0.000	0.053	0.017
101.000	112601.000	1.000	0.000	0.039	0.017
102.000	111529.000	1.000	0.000	0.049	0.017
103.000	110456.000	1.000	0.000	0.037	0.017
104.000	109384.000	1.000	0.000	0.048	0.017
105.000	108311.000	1.000	0.000	0.047	0.017
106.000	107239.000	1.000	0.000	0.040	0.017
107.000	106166.000	1.000	0.000	0.047	0.017
108.000	105094.000	1.000	0.000	0.049	0.017
109.000	104022.000	1.000	0.000	0.036	0.017
110.000	102949.000	1.000	0.000	0.033	0.017
111.000	101877.000	1.000	0.000	0.032	0.017
112.000	100804.000	1.000	0.000	0.041	0.017
113.000	99732.000	1.000	0.000	0.046	0.017
114.000	98659.000	1.000	0.000	0.044	0.017
115.000	97587.000	1.000	0.000	0.041	0.017
116.000	96515.000	1.000	0.000	0.038	0.017
117.000	95442.000	1.000	0.000	0.036	0.017
118.000	94370.000	1.000	0.000	0.047	0.017
119.000	93297.000	1.000	0.000	0.039	0.017
120.000	92225.000	1.000	0.000	0.047	0.017
121.000	91153.000	1.000	0.000	0.039	0.017
122.000	90080.000	1.000	0.000	0.042	0.017
123.000	89008.000	1.000	0.000	0.034	0.017
124.000	87935.000	1.000	0.000	0.036	0.017
125.000	86863.000	1.000	0.000	0.030	0.017
126.000	85790.000	1.000	0.000	0.036	0.017
127.000	84718.000	1.000	0.000	0.045	0.017
128.000	83646.000	1.000	0.000	0.045	0.017
