# MW Resoncance Scan w/ the Dye laser.
# Hittite at 18510.6 MHz & 18.6 dBm
# MW Attn at 14 dB
i	f	s
0.000	-60.364	0.068
1.000	-60.008	0.070
2.000	-59.653	0.070
3.000	-59.297	0.067
4.000	-58.941	0.073
5.000	-58.585	0.074
6.000	-58.229	0.077
7.000	-57.873	0.078
8.000	-57.518	0.073
9.000	-57.162	0.081
10.000	-56.806	0.084
11.000	-56.450	0.086
12.000	-56.094	0.077
13.000	-55.739	0.078
14.000	-55.383	0.077
15.000	-55.027	0.078
16.000	-54.671	0.078
17.000	-54.315	0.080
18.000	-53.960	0.083
19.000	-53.604	0.091
20.000	-53.248	0.089
21.000	-52.892	0.091
22.000	-52.536	0.082
23.000	-52.180	0.083
24.000	-51.825	0.084
25.000	-51.469	0.092
26.000	-51.113	0.093
27.000	-50.757	0.088
28.000	-50.401	0.090
29.000	-50.046	0.093
30.000	-49.690	0.095
31.000	-49.334	0.098
32.000	-48.978	0.103
33.000	-48.622	0.101
34.000	-48.267	0.097
35.000	-47.911	0.094
36.000	-47.555	0.097
37.000	-47.199	0.094
38.000	-46.843	0.093
39.000	-46.487	0.093
40.000	-46.132	0.100
41.000	-45.776	0.102
42.000	-45.420	0.098
43.000	-45.064	0.110
44.000	-44.708	0.107
45.000	-44.353	0.096
46.000	-43.997	0.093
47.000	-43.641	0.094
48.000	-43.285	0.100
49.000	-42.929	0.096
50.000	-42.573	0.103
51.000	-42.218	0.089
52.000	-41.862	0.084
53.000	-41.506	0.081
54.000	-41.150	0.084
55.000	-40.794	0.086
56.000	-40.439	0.085
57.000	-40.083	0.089
58.000	-39.727	0.088
59.000	-39.371	0.084
60.000	-39.015	0.091
61.000	-38.660	0.091
62.000	-38.304	0.078
63.000	-37.948	0.082
64.000	-37.592	0.080
65.000	-37.236	0.077
66.000	-36.880	0.071
67.000	-36.525	0.081
68.000	-36.169	0.075
69.000	-35.813	0.068
70.000	-35.457	0.072
71.000	-35.101	0.072
72.000	-34.746	0.072
73.000	-34.390	0.069
74.000	-34.034	0.063
75.000	-33.678	0.064
76.000	-33.322	0.066
77.000	-32.967	0.064
78.000	-32.611	0.062
79.000	-32.255	0.066
80.000	-31.899	0.062
81.000	-31.543	0.059
82.000	-31.187	0.057
83.000	-30.832	0.058
84.000	-30.476	0.054
85.000	-30.120	0.060
