# Delay scan
# PM at 1.4 (35 dB)
# MW at 19 dB, 18.5094 GHzs, 18.6 dBm
# 0 Resonance
# Laser at 365859.0 GHz
# Static at 0 mV
# No Mod:	0.0842561
# No Mod No MW:	0.104052
i	d	n	nb	s	sb
0.000	46804.000	0.460	-0.053	0.086	-0.004
1.000	47876.000	0.460	-0.053	0.080	-0.004
2.000	48948.000	0.460	-0.053	0.067	-0.004
3.000	50020.000	0.460	-0.053	0.070	-0.004
4.000	51092.000	0.460	-0.053	0.059	-0.004
5.000	52164.000	0.460	-0.053	0.060	-0.004
6.000	53236.000	0.460	-0.053	0.078	-0.004
7.000	54308.000	0.460	-0.053	0.102	-0.004
8.000	55380.000	0.460	-0.053	0.090	-0.004
9.000	56452.000	0.460	-0.053	0.064	-0.004
10.000	57524.000	0.460	-0.053	0.066	-0.004
11.000	58596.000	0.460	-0.053	0.061	-0.004
12.000	59668.000	0.460	-0.053	0.070	-0.004
13.000	60740.000	0.460	-0.053	0.067	-0.004
14.000	61812.000	0.460	-0.053	0.090	-0.004
15.000	62884.000	0.460	-0.053	0.091	-0.004
16.000	63956.000	0.460	-0.053	0.085	-0.004
17.000	65028.000	0.460	-0.053	0.071	-0.004
18.000	66099.000	0.460	-0.053	0.067	-0.004
19.000	67171.000	0.460	-0.053	0.062	-0.004
20.000	68243.000	0.460	-0.053	0.067	-0.004
21.000	69315.000	0.460	-0.053	0.074	-0.004
22.000	70387.000	0.460	-0.053	0.072	-0.004
23.000	71459.000	0.460	-0.053	0.082	-0.004
24.000	72531.000	0.460	-0.053	0.061	-0.004
25.000	73603.000	0.460	-0.053	0.068	-0.004
26.000	74675.000	0.460	-0.053	0.062	-0.004
27.000	75747.000	0.460	-0.053	0.076	-0.004
28.000	76819.000	0.460	-0.053	0.083	-0.004
29.000	77891.000	0.460	-0.053	0.082	-0.004
30.000	78963.000	0.460	-0.053	0.088	-0.004
31.000	80035.000	0.460	-0.053	0.078	-0.004
32.000	81107.000	0.460	-0.053	0.075	-0.004
33.000	82179.000	0.460	-0.053	0.063	-0.004
34.000	83251.000	0.460	-0.053	0.053	-0.004
35.000	84323.000	0.460	-0.053	0.062	-0.004
36.000	85395.000	0.460	-0.053	0.079	-0.004
37.000	86467.000	0.460	-0.053	0.091	-0.004
38.000	87539.000	0.460	-0.053	0.078	-0.004
39.000	88611.000	0.460	-0.053	0.073	-0.004
40.000	89682.000	0.460	-0.053	0.060	-0.004
41.000	90754.000	0.460	-0.053	0.056	-0.004
42.000	91826.000	0.460	-0.053	0.077	-0.004
43.000	92898.000	0.460	-0.053	0.073	-0.004
44.000	93970.000	0.460	-0.053	0.093	-0.004
45.000	95042.000	0.460	-0.053	0.096	-0.004
46.000	96114.000	0.460	-0.053	0.080	-0.004
47.000	97186.000	0.460	-0.053	0.089	-0.004
48.000	98258.000	0.460	-0.053	0.059	-0.004
49.000	99330.000	0.460	-0.053	0.059	-0.004
50.000	100402.000	0.460	-0.053	0.070	-0.004
51.000	101474.000	0.460	-0.053	0.086	-0.004
52.000	102546.000	0.460	-0.053	0.084	-0.004
53.000	103618.000	0.460	-0.053	0.085	-0.004
54.000	104690.000	0.460	-0.053	0.073	-0.004
55.000	105762.000	0.460	-0.053	0.074	-0.004
56.000	106834.000	0.460	-0.053	0.046	-0.004
57.000	107906.000	0.460	-0.053	0.057	-0.004
58.000	108978.000	0.460	-0.053	0.096	-0.004
59.000	110050.000	0.460	-0.053	0.087	-0.004
60.000	111122.000	0.460	-0.053	0.098	-0.004
61.000	112193.000	0.460	-0.053	0.071	-0.004
62.000	113265.000	0.460	-0.053	0.068	-0.004
63.000	114337.000	0.460	-0.053	0.067	-0.004
64.000	115409.000	0.460	-0.053	0.069	-0.004
65.000	116481.000	0.460	-0.053	0.065	-0.004
66.000	117553.000	0.460	-0.053	0.081	-0.004
67.000	118625.000	0.460	-0.053	0.077	-0.004
68.000	119697.000	0.460	-0.053	0.085	-0.004
69.000	120769.000	0.460	-0.053	0.067	-0.004
70.000	121841.000	0.460	-0.053	0.057	-0.004
71.000	122913.000	0.460	-0.053	0.054	-0.004
72.000	123985.000	0.460	-0.053	0.076	-0.004
73.000	125057.000	0.460	-0.053	0.071	-0.004
74.000	126129.000	0.460	-0.053	0.085	-0.004
75.000	127201.000	0.460	-0.053	0.100	-0.004
76.000	128273.000	0.460	-0.053	0.063	-0.004
