# Filename	C:\Users\labuser\Documents\Data\2018-11-05\17_fscan.txt
# Date	2018-11-6-12:7
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	18.60
# Note	Hittite HMC-T2100 at 18.6 dBm connected to Splitter to -2 dB to Mixer to Doubler to -20 dB to Amp to Var Attn to Cavity. Var Attn at 19 dB. Laser at -10 GHz with -10 GHz Limit. MW Pulse from Laser -270 ns to +30 ns. Looking for MW Ionization.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18480000000.000	0.073	0.178	0.226
18482000000.000	0.073	0.194	0.213
18484000000.000	0.073	0.193	0.213
18486000000.000	0.073	0.177	0.211
18488000000.000	0.073	0.200	0.211
18490000000.000	0.073	0.167	0.218
18492000000.000	0.073	0.179	0.225
18494000000.000	0.073	0.169	0.216
18496000000.000	0.073	0.171	0.228
18498000000.000	0.073	0.177	0.245
18500000000.000	0.073	0.163	0.204
18502000000.000	0.073	0.156	0.213
18504000000.000	0.073	0.148	0.210
18506000000.000	0.073	0.131	0.223
18508000000.000	0.073	0.121	0.180
18510000000.000	0.073	0.110	0.213
18512000000.000	0.073	0.086	0.201
18514000000.000	0.073	0.083	0.207
18516000000.000	0.073	0.076	0.201
18518000000.000	0.073	0.106	0.194
18520000000.000	0.073	0.135	0.215
18522000000.000	0.073	0.124	0.229
18524000000.000	0.073	0.150	0.187
18526000000.000	0.073	0.156	0.229
18528000000.000	0.073	0.166	0.198
18530000000.000	0.073	0.158	0.177
18532000000.000	0.073	0.160	0.201
18534000000.000	0.073	0.194	0.234
18536000000.000	0.073	0.165	0.221
18538000000.000	0.073	0.172	0.200
18540000000.000	0.073	0.199	0.219
18480200000.000	0.073	0.226	0.188
18482200000.000	0.073	0.182	0.209
18484200000.000	0.073	0.193	0.231
18486200000.000	0.073	0.206	0.204
18488200000.000	0.073	0.196	0.215
18490200000.000	0.073	0.155	0.227
18492200000.000	0.073	0.167	0.208
18494200000.000	0.073	0.180	0.216
18496200000.000	0.073	0.148	0.191
18498200000.000	0.073	0.143	0.204
18500200000.000	0.073	0.151	0.214
18502200000.000	0.073	0.123	0.197
18504200000.000	0.073	0.138	0.207
18506200000.000	0.073	0.138	0.239
18508200000.000	0.073	0.107	0.205
18510200000.000	0.073	0.103	0.226
18512200000.000	0.073	0.063	0.197
18514200000.000	0.073	0.064	0.232
18516200000.000	0.073	0.082	0.207
18518200000.000	0.073	0.105	0.208
18520200000.000	0.073	0.124	0.226
18522200000.000	0.073	0.126	0.205
18524200000.000	0.073	0.125	0.207
18526200000.000	0.073	0.146	0.227
18528200000.000	0.073	0.151	0.211
18530200000.000	0.073	0.192	0.200
18532200000.000	0.073	0.159	0.195
18534200000.000	0.073	0.170	0.214
18536200000.000	0.073	0.183	0.226
18538200000.000	0.073	0.191	0.231
18480400000.000	0.073	0.196	0.228
18482400000.000	0.073	0.186	0.234
18484400000.000	0.073	0.219	0.235
18486400000.000	0.073	0.207	0.214
18488400000.000	0.073	0.190	0.203
18490400000.000	0.073	0.180	0.214
18492400000.000	0.073	0.180	0.195
18494400000.000	0.073	0.160	0.202
18496400000.000	0.073	0.149	0.203
18498400000.000	0.073	0.160	0.208
18500400000.000	0.073	0.166	0.214
18502400000.000	0.073	0.146	0.237
18504400000.000	0.073	0.133	0.231
18506400000.000	0.073	0.122	0.225
18508400000.000	0.073	0.119	0.236
18510400000.000	0.073	0.093	0.216
18512400000.000	0.073	0.075	0.197
18514400000.000	0.073	0.056	0.205
18516400000.000	0.073	0.074	0.219
18518400000.000	0.073	0.107	0.209
18520400000.000	0.073	0.130	0.222
18522400000.000	0.073	0.113	0.206
18524400000.000	0.073	0.137	0.200
18526400000.000	0.073	0.167	0.197
18528400000.000	0.073	0.136	0.202
18530400000.000	0.073	0.157	0.206
18532400000.000	0.073	0.183	0.210
18534400000.000	0.073	0.181	0.208
18536400000.000	0.073	0.173	0.199
18538400000.000	0.073	0.192	0.214
18480600000.000	0.073	0.171	0.216
18482600000.000	0.073	0.202	0.225
18484600000.000	0.073	0.191	0.194
18486600000.000	0.073	0.188	0.194
18488600000.000	0.073	0.171	0.206
18490600000.000	0.073	0.187	0.208
18492600000.000	0.073	0.166	0.235
18494600000.000	0.073	0.170	0.225
18496600000.000	0.073	0.156	0.207
18498600000.000	0.073	0.172	0.218
18500600000.000	0.073	0.147	0.224
18502600000.000	0.073	0.159	0.212
18504600000.000	0.073	0.152	0.229
18506600000.000	0.073	0.139	0.208
18508600000.000	0.073	0.113	0.211
18510600000.000	0.073	0.089	0.199
18512600000.000	0.073	0.070	0.198
18514600000.000	0.073	0.064	0.202
18516600000.000	0.073	0.077	0.200
18518600000.000	0.073	0.104	0.220
