# Delay scan
# MW at 19 dB, 18.5140 GHz x2, 18.6 dB
# Laser at 365858 GHz, 0th Resonance.
# PM at 1.4 (35 dB)
# 0 mV static
# Norm:	-0.321996
# NB:	
i	d	s	b
6376.000	68116.000	0.137	-0.031
6375.000	68126.000	0.162	-0.031
6374.000	68136.000	0.147	-0.031
6373.000	68146.000	0.113	-0.031
6372.000	68156.000	0.131	-0.031
6371.000	68166.000	0.166	-0.031
6370.000	68176.000	0.135	-0.031
6369.000	68186.000	0.125	-0.031
6368.000	68196.000	0.152	-0.031
6367.000	68206.000	0.131	-0.031
6366.000	68216.000	0.163	-0.031
6365.000	68226.000	0.130	-0.031
6364.000	68236.000	0.139	-0.031
6363.000	68246.000	0.145	-0.031
6362.000	68256.000	0.147	-0.031
6361.000	68266.000	0.128	-0.031
6360.000	68276.000	0.143	-0.031
6359.000	68286.000	0.135	-0.031
6358.000	68296.000	0.160	-0.031
6357.000	68306.000	0.140	-0.031
6356.000	68316.000	0.131	-0.031
6355.000	68326.000	0.139	-0.031
6354.000	68336.000	0.125	-0.031
6353.000	68346.000	0.121	-0.031
6352.000	68356.000	0.140	-0.031
6351.000	68366.000	0.135	-0.031
6350.000	68376.000	0.130	-0.031
6349.000	68386.000	0.131	-0.031
6348.000	68396.000	0.120	-0.031
6347.000	68406.000	0.157	-0.031
6346.000	68416.000	0.166	-0.031
6345.000	68426.000	0.140	-0.031
6344.000	68436.000	0.132	-0.031
6343.000	68446.000	0.130	-0.031
6342.000	68456.000	0.107	-0.031
6341.000	68466.000	0.130	-0.031
6340.000	68476.000	0.124	-0.031
6339.000	68486.000	0.103	-0.031
6338.000	68496.000	0.154	-0.031
6337.000	68506.000	0.159	-0.031
6336.000	68516.000	0.123	-0.031
6335.000	68526.000	0.138	-0.031
6334.000	68536.000	0.136	-0.031
6333.000	68546.000	0.150	-0.031
6332.000	68556.000	0.165	-0.031
6331.000	68566.000	0.143	-0.031
6330.000	68576.000	0.146	-0.031
6329.000	68586.000	0.137	-0.031
6328.000	68596.000	0.161	-0.031
6327.000	68606.000	0.137	-0.031
6326.000	68616.000	0.154	-0.031
6325.000	68626.000	0.148	-0.031
6324.000	68636.000	0.142	-0.031
6323.000	68646.000	0.146	-0.031
6322.000	68656.000	0.134	-0.031
6321.000	68666.000	0.138	-0.031
6320.000	68676.000	0.116	-0.031
6319.000	68686.000	0.143	-0.031
6318.000	68696.000	0.157	-0.031
6317.000	68706.000	0.158	-0.031
6316.000	68716.000	0.129	-0.031
6315.000	68726.000	0.128	-0.031
6314.000	68736.000	0.161	-0.031
6313.000	68746.000	0.154	-0.031
6312.000	68756.000	0.146	-0.031
6311.000	68766.000	0.161	-0.031
6310.000	68776.000	0.144	-0.031
6309.000	68786.000	0.136	-0.031
6308.000	68796.000	0.133	-0.031
6307.000	68806.000	0.130	-0.031
6306.000	68816.000	0.123	-0.031
6305.000	68826.000	0.127	-0.031
6304.000	68836.000	0.138	-0.031
6303.000	68846.000	0.139	-0.031
6302.000	68856.000	0.142	-0.031
6301.000	68866.000	0.143	-0.031
6300.000	68876.000	0.150	-0.031
6299.000	68886.000	0.125	-0.031
6298.000	68896.000	0.112	-0.031
6297.000	68906.000	0.144	-0.031
6296.000	68916.000	0.148	-0.031
6295.000	68926.000	0.151	-0.031
6294.000	68936.000	0.158	-0.031
6293.000	68946.000	0.156	-0.031
6292.000	68956.000	0.152	-0.031
6291.000	68966.000	0.121	-0.031
6290.000	68976.000	0.122	-0.031
6289.000	68986.000	0.121	-0.031
6288.000	68996.000	0.115	-0.031
6287.000	69006.000	0.128	-0.031
6286.000	69016.000	0.105	-0.031
6285.000	69026.000	0.127	-0.031
6284.000	69036.000	0.098	-0.031
6283.000	69046.000	0.115	-0.031
6282.000	69056.000	0.111	-0.031
6281.000	69066.000	0.117	-0.031
6280.000	69076.000	0.125	-0.031
6279.000	69086.000	0.115	-0.031
6278.000	69096.000	0.136	-0.031
6277.000	69106.000	0.133	-0.031
6276.000	69116.000	0.135	-0.031
6275.000	69126.000	0.142	-0.031
6274.000	69136.000	0.136	-0.031
6273.000	69146.000	0.151	-0.031
6272.000	69156.000	0.142	-0.031
6271.000	69166.000	0.144	-0.031
6270.000	69176.000	0.143	-0.031
6269.000	69186.000	0.117	-0.031
6268.000	69196.000	0.102	-0.031
6267.000	69206.000	0.131	-0.031
6266.000	69216.000	0.148	-0.031
6265.000	69226.000	0.131	-0.031
6264.000	69236.000	0.140	-0.031
6263.000	69246.000	0.123	-0.031
6262.000	69256.000	0.108	-0.031
6261.000	69266.000	0.115	-0.031
6260.000	69276.000	0.118	-0.031
6259.000	69286.000	0.127	-0.031
6258.000	69296.000	0.111	-0.031
6257.000	69306.000	0.095	-0.031
6256.000	69316.000	0.127	-0.031
6255.000	69326.000	0.111	-0.031
6254.000	69336.000	0.116	-0.031
6253.000	69346.000	0.121	-0.031
6252.000	69356.000	0.110	-0.031
6251.000	69366.000	0.137	-0.031
6250.000	69376.000	0.139	-0.031
6249.000	69386.000	0.142	-0.031
6248.000	69396.000	0.138	-0.031
6247.000	69406.000	0.163	-0.031
6246.000	69416.000	0.142	-0.031
6245.000	69426.000	0.150	-0.031
6244.000	69436.000	0.145	-0.031
6243.000	69446.000	0.159	-0.031
6242.000	69456.000	0.146	-0.031
6241.000	69466.000	0.148	-0.031
6240.000	69476.000	0.118	-0.031
6239.000	69486.000	0.124	-0.031
6238.000	69496.000	0.121	-0.031
6237.000	69506.000	0.133	-0.031
6236.000	69516.000	0.136	-0.031
6235.000	69526.000	0.125	-0.031
6234.000	69536.000	0.117	-0.031
6233.000	69546.000	0.120	-0.031
6232.000	69556.000	0.113	-0.031
6231.000	69566.000	0.104	-0.031
6230.000	69576.000	0.138	-0.031
6229.000	69586.000	0.140	-0.031
6228.000	69596.000	0.130	-0.031
6227.000	69606.000	0.112	-0.031
6226.000	69616.000	0.111	-0.031
6225.000	69626.000	0.120	-0.031
6224.000	69636.000	0.138	-0.031
6223.000	69646.000	0.140	-0.031
6222.000	69656.000	0.135	-0.031
6221.000	69666.000	0.135	-0.031
6220.000	69676.000	0.147	-0.031
6219.000	69686.000	0.155	-0.031
6218.000	69696.000	0.153	-0.031
6217.000	69706.000	0.135	-0.031
6216.000	69716.000	0.130	-0.031
6215.000	69726.000	0.102	-0.031
6214.000	69736.000	0.106	-0.031
6213.000	69746.000	0.109	-0.031
6212.000	69756.000	0.125	-0.031
6211.000	69766.000	0.120	-0.031
6210.000	69776.000	0.166	-0.031
