# Delay scan
# MW at 19 dB, 18.5132 GHz x2, 18.6 dB
# Laser at 365858 GHz, 0th Resonance.
# PM at 1.4 (35 dB)
# 0 mV static
i	d	s	sb	n	nb
6376.000	68116.000	0.159	-0.009	-0.339	0.164
6375.000	68126.000	0.147	-0.009	-0.339	0.164
6374.000	68136.000	0.160	-0.009	-0.339	0.164
6373.000	68146.000	0.152	-0.009	-0.339	0.164
6372.000	68156.000	0.152	-0.009	-0.339	0.164
6371.000	68166.000	0.133	-0.009	-0.339	0.164
6370.000	68176.000	0.171	-0.009	-0.339	0.164
6369.000	68186.000	0.135	-0.009	-0.339	0.164
6368.000	68196.000	0.133	-0.009	-0.339	0.164
6367.000	68206.000	0.152	-0.009	-0.339	0.164
6366.000	68216.000	0.168	-0.009	-0.339	0.164
6365.000	68226.000	0.161	-0.009	-0.339	0.164
6364.000	68236.000	0.197	-0.009	-0.339	0.164
6363.000	68246.000	0.184	-0.009	-0.339	0.164
6362.000	68256.000	0.194	-0.009	-0.339	0.164
6361.000	68266.000	0.210	-0.009	-0.339	0.164
6360.000	68276.000	0.186	-0.009	-0.339	0.164
6359.000	68286.000	0.152	-0.009	-0.339	0.164
6358.000	68296.000	0.156	-0.009	-0.339	0.164
6357.000	68306.000	0.163	-0.009	-0.339	0.164
6356.000	68316.000	0.157	-0.009	-0.339	0.164
6355.000	68326.000	0.150	-0.009	-0.339	0.164
6354.000	68336.000	0.150	-0.009	-0.339	0.164
6353.000	68346.000	0.163	-0.009	-0.339	0.164
6352.000	68356.000	0.155	-0.009	-0.339	0.164
6351.000	68366.000	0.163	-0.009	-0.339	0.164
6350.000	68376.000	0.147	-0.009	-0.339	0.164
6349.000	68386.000	0.132	-0.009	-0.339	0.164
6348.000	68396.000	0.135	-0.009	-0.339	0.164
6347.000	68406.000	0.173	-0.009	-0.339	0.164
6346.000	68416.000	0.176	-0.009	-0.339	0.164
6345.000	68426.000	0.162	-0.009	-0.339	0.164
6344.000	68436.000	0.155	-0.009	-0.339	0.164
6343.000	68446.000	0.132	-0.009	-0.339	0.164
6342.000	68456.000	0.141	-0.009	-0.339	0.164
6341.000	68466.000	0.141	-0.009	-0.339	0.164
6340.000	68476.000	0.151	-0.009	-0.339	0.164
6339.000	68486.000	0.170	-0.009	-0.339	0.164
6338.000	68496.000	0.178	-0.009	-0.339	0.164
6337.000	68506.000	0.155	-0.009	-0.339	0.164
6336.000	68516.000	0.154	-0.009	-0.339	0.164
6335.000	68526.000	0.167	-0.009	-0.339	0.164
6334.000	68536.000	0.170	-0.009	-0.339	0.164
6333.000	68546.000	0.166	-0.009	-0.339	0.164
6332.000	68556.000	0.150	-0.009	-0.339	0.164
6331.000	68566.000	0.169	-0.009	-0.339	0.164
6330.000	68576.000	0.182	-0.009	-0.339	0.164
6329.000	68586.000	0.172	-0.009	-0.339	0.164
6328.000	68596.000	0.169	-0.009	-0.339	0.164
6327.000	68606.000	0.161	-0.009	-0.339	0.164
6326.000	68616.000	0.159	-0.009	-0.339	0.164
6325.000	68626.000	0.156	-0.009	-0.339	0.164
6324.000	68636.000	0.173	-0.009	-0.339	0.164
6323.000	68646.000	0.159	-0.009	-0.339	0.164
6322.000	68656.000	0.131	-0.009	-0.339	0.164
6321.000	68666.000	0.148	-0.009	-0.339	0.164
6320.000	68676.000	0.195	-0.009	-0.339	0.164
6319.000	68686.000	0.135	-0.009	-0.339	0.164
6318.000	68696.000	0.171	-0.009	-0.339	0.164
6317.000	68706.000	0.160	-0.009	-0.339	0.164
6316.000	68716.000	0.136	-0.009	-0.339	0.164
6315.000	68726.000	0.152	-0.009	-0.339	0.164
6314.000	68736.000	0.163	-0.009	-0.339	0.164
6313.000	68746.000	0.169	-0.009	-0.339	0.164
6312.000	68756.000	0.158	-0.009	-0.339	0.164
6311.000	68766.000	0.132	-0.009	-0.339	0.164
6310.000	68776.000	0.140	-0.009	-0.339	0.164
6309.000	68786.000	0.137	-0.009	-0.339	0.164
6308.000	68796.000	0.146	-0.009	-0.339	0.164
6307.000	68806.000	0.146	-0.009	-0.339	0.164
