# Delay scan
# MW at 19 dB, 18.5132 GHz x2, 18.6 dB
# Laser at 365897 GHz, +1st Resonance.
# PM at 2.0 (32 dB)
# 0 mV static
i	d	s	sb	n	nb
4782.000	76087.000	0.122	-0.022	-0.311	0.157
4781.000	76097.000	0.123	-0.022	-0.311	0.157
4780.000	76107.000	0.106	-0.022	-0.311	0.157
4779.000	76117.000	0.115	-0.022	-0.311	0.157
4778.000	76127.000	0.111	-0.022	-0.311	0.157
4777.000	76137.000	0.118	-0.022	-0.311	0.157
4776.000	76147.000	0.128	-0.022	-0.311	0.157
4775.000	76157.000	0.128	-0.022	-0.311	0.157
4774.000	76167.000	0.125	-0.022	-0.311	0.157
4773.000	76177.000	0.114	-0.022	-0.311	0.157
4772.000	76187.000	0.132	-0.022	-0.311	0.157
4771.000	76197.000	0.135	-0.022	-0.311	0.157
4770.000	76207.000	0.119	-0.022	-0.311	0.157
4769.000	76217.000	0.115	-0.022	-0.311	0.157
4768.000	76227.000	0.102	-0.022	-0.311	0.157
4767.000	76237.000	0.128	-0.022	-0.311	0.157
4766.000	76247.000	0.144	-0.022	-0.311	0.157
4765.000	76257.000	0.140	-0.022	-0.311	0.157
4764.000	76267.000	0.123	-0.022	-0.311	0.157
4763.000	76277.000	0.099	-0.022	-0.311	0.157
4762.000	76287.000	0.085	-0.022	-0.311	0.157
4761.000	76297.000	0.105	-0.022	-0.311	0.157
4760.000	76307.000	0.097	-0.022	-0.311	0.157
4759.000	76317.000	0.095	-0.022	-0.311	0.157
4758.000	76327.000	0.101	-0.022	-0.311	0.157
4757.000	76337.000	0.099	-0.022	-0.311	0.157
4756.000	76347.000	0.102	-0.022	-0.311	0.157
4755.000	76357.000	0.098	-0.022	-0.311	0.157
4754.000	76367.000	0.102	-0.022	-0.311	0.157
4753.000	76377.000	0.115	-0.022	-0.311	0.157
4752.000	76387.000	0.119	-0.022	-0.311	0.157
4751.000	76397.000	0.141	-0.022	-0.311	0.157
4750.000	76407.000	0.133	-0.022	-0.311	0.157
4749.000	76417.000	0.123	-0.022	-0.311	0.157
4748.000	76427.000	0.105	-0.022	-0.311	0.157
4747.000	76437.000	0.107	-0.022	-0.311	0.157
4746.000	76447.000	0.131	-0.022	-0.311	0.157
4745.000	76457.000	0.130	-0.022	-0.311	0.157
4744.000	76467.000	0.125	-0.022	-0.311	0.157
4743.000	76477.000	0.125	-0.022	-0.311	0.157
4742.000	76487.000	0.103	-0.022	-0.311	0.157
4741.000	76497.000	0.123	-0.022	-0.311	0.157
4740.000	76507.000	0.112	-0.022	-0.311	0.157
4739.000	76517.000	0.107	-0.022	-0.311	0.157
4738.000	76527.000	0.104	-0.022	-0.311	0.157
4737.000	76537.000	0.125	-0.022	-0.311	0.157
4736.000	76547.000	0.132	-0.022	-0.311	0.157
4735.000	76557.000	0.138	-0.022	-0.311	0.157
4734.000	76567.000	0.126	-0.022	-0.311	0.157
4733.000	76577.000	0.106	-0.022	-0.311	0.157
4732.000	76587.000	0.112	-0.022	-0.311	0.157
4731.000	76597.000	0.108	-0.022	-0.311	0.157
4730.000	76607.000	0.103	-0.022	-0.311	0.157
4729.000	76617.000	0.100	-0.022	-0.311	0.157
4728.000	76627.000	0.135	-0.022	-0.311	0.157
4727.000	76637.000	0.135	-0.022	-0.311	0.157
4726.000	76647.000	0.136	-0.022	-0.311	0.157
4725.000	76657.000	0.102	-0.022	-0.311	0.157
4724.000	76667.000	0.124	-0.022	-0.311	0.157
4723.000	76677.000	0.131	-0.022	-0.311	0.157
4722.000	76687.000	0.094	-0.022	-0.311	0.157
4721.000	76697.000	0.110	-0.022	-0.311	0.157
4720.000	76707.000	0.114	-0.022	-0.311	0.157
4719.000	76717.000	0.125	-0.022	-0.311	0.157
4718.000	76727.000	0.127	-0.022	-0.311	0.157
4717.000	76737.000	0.132	-0.022	-0.311	0.157
4716.000	76747.000	0.150	-0.022	-0.311	0.157
4715.000	76757.000	0.131	-0.022	-0.311	0.157
4714.000	76767.000	0.102	-0.022	-0.311	0.157
4713.000	76777.000	0.134	-0.022	-0.311	0.157
4712.000	76787.000	0.130	-0.022	-0.311	0.157
4711.000	76797.000	0.116	-0.022	-0.311	0.157
4710.000	76807.000	0.130	-0.022	-0.311	0.157
4709.000	76817.000	0.123	-0.022	-0.311	0.157
4708.000	76827.000	0.120	-0.022	-0.311	0.157
4707.000	76837.000	0.131	-0.022	-0.311	0.157
4706.000	76847.000	0.116	-0.022	-0.311	0.157
4705.000	76857.000	0.149	-0.022	-0.311	0.157
4704.000	76867.000	0.113	-0.022	-0.311	0.157
4703.000	76877.000	0.116	-0.022	-0.311	0.157
4702.000	76887.000	0.101	-0.022	-0.311	0.157
4701.000	76897.000	0.107	-0.022	-0.311	0.157
4700.000	76907.000	0.129	-0.022	-0.311	0.157
4699.000	76917.000	0.113	-0.022	-0.311	0.157
4698.000	76927.000	0.111	-0.022	-0.311	0.157
4697.000	76937.000	0.105	-0.022	-0.311	0.157
4696.000	76947.000	0.106	-0.022	-0.311	0.157
4695.000	76957.000	0.099	-0.022	-0.311	0.157
4694.000	76967.000	0.124	-0.022	-0.311	0.157
4693.000	76977.000	0.096	-0.022	-0.311	0.157
4692.000	76987.000	0.114	-0.022	-0.311	0.157
4691.000	76997.000	0.114	-0.022	-0.311	0.157
4690.000	77007.000	0.110	-0.022	-0.311	0.157
4689.000	77017.000	0.120	-0.022	-0.311	0.157
4688.000	77027.000	0.128	-0.022	-0.311	0.157
4687.000	77037.000	0.107	-0.022	-0.311	0.157
4686.000	77047.000	0.106	-0.022	-0.311	0.157
4685.000	77057.000	0.127	-0.022	-0.311	0.157
4684.000	77067.000	0.120	-0.022	-0.311	0.157
4683.000	77077.000	0.109	-0.022	-0.311	0.157
4682.000	77087.000	0.104	-0.022	-0.311	0.157
4681.000	77097.000	0.101	-0.022	-0.311	0.157
4680.000	77107.000	0.102	-0.022	-0.311	0.157
4679.000	77117.000	0.103	-0.022	-0.311	0.157
4678.000	77127.000	0.121	-0.022	-0.311	0.157
4677.000	77137.000	0.116	-0.022	-0.311	0.157
4676.000	77147.000	0.122	-0.022	-0.311	0.157
4675.000	77157.000	0.129	-0.022	-0.311	0.157
4674.000	77167.000	0.135	-0.022	-0.311	0.157
