# Delay scan
# MW at 19 dB
# Laser at 365854 GHz, 0th Resonance.
# PM at 1.4 (35 dB)
# No Static
i	d	s	b
9564.000	52176.000	0.105	-0.036
9563.000	52186.000	0.149	-0.036
9562.000	52196.000	0.141	-0.036
9561.000	52206.000	0.125	-0.036
9560.000	52216.000	0.093	-0.036
9559.000	52226.000	0.107	-0.036
9558.000	52236.000	0.155	-0.036
9557.000	52246.000	0.123	-0.036
9556.000	52256.000	0.101	-0.036
9555.000	52266.000	0.100	-0.036
9554.000	52276.000	0.111	-0.036
9553.000	52286.000	0.099	-0.036
9552.000	52296.000	0.103	-0.036
9551.000	52306.000	0.095	-0.036
9550.000	52316.000	0.104	-0.036
9549.000	52326.000	0.086	-0.036
9548.000	52336.000	0.163	-0.036
9547.000	52346.000	0.099	-0.036
9546.000	52356.000	0.100	-0.036
9545.000	52366.000	0.104	-0.036
9544.000	52376.000	0.103	-0.036
9543.000	52386.000	0.135	-0.036
9542.000	52396.000	0.103	-0.036
9541.000	52406.000	0.104	-0.036
9540.000	52416.000	0.113	-0.036
9539.000	52426.000	0.112	-0.036
9538.000	52436.000	0.084	-0.036
9537.000	52446.000	0.096	-0.036
9536.000	52456.000	0.121	-0.036
9535.000	52466.000	0.114	-0.036
9534.000	52476.000	0.143	-0.036
9533.000	52486.000	0.099	-0.036
9532.000	52496.000	0.091	-0.036
9531.000	52506.000	0.106	-0.036
9530.000	52516.000	0.124	-0.036
9529.000	52526.000	0.121	-0.036
9528.000	52536.000	0.085	-0.036
9527.000	52546.000	0.109	-0.036
9526.000	52556.000	0.105	-0.036
9525.000	52566.000	0.115	-0.036
9524.000	52576.000	0.088	-0.036
9523.000	52586.000	0.132	-0.036
9522.000	52596.000	0.097	-0.036
9521.000	52606.000	0.088	-0.036
9520.000	52616.000	0.122	-0.036
9519.000	52626.000	0.100	-0.036
9518.000	52636.000	0.112	-0.036
9517.000	52646.000	0.133	-0.036
9516.000	52656.000	0.141	-0.036
9515.000	52666.000	0.103	-0.036
9514.000	52676.000	0.081	-0.036
9513.000	52686.000	0.147	-0.036
9512.000	52696.000	0.100	-0.036
9511.000	52706.000	0.105	-0.036
9510.000	52716.000	0.124	-0.036
9509.000	52726.000	0.088	-0.036
9508.000	52736.000	0.116	-0.036
9507.000	52746.000	0.142	-0.036
9506.000	52756.000	0.156	-0.036
9505.000	52766.000	0.099	-0.036
9504.000	52776.000	0.104	-0.036
9503.000	52786.000	0.093	-0.036
9502.000	52796.000	0.119	-0.036
9501.000	52806.000	0.124	-0.036
9500.000	52816.000	0.126	-0.036
9499.000	52826.000	0.133	-0.036
9498.000	52836.000	0.126	-0.036
9497.000	52846.000	0.084	-0.036
9496.000	52856.000	0.075	-0.036
9495.000	52866.000	0.117	-0.036
9494.000	52876.000	0.109	-0.036
9493.000	52886.000	0.102	-0.036
9492.000	52896.000	0.101	-0.036
9491.000	52906.000	0.115	-0.036
9490.000	52916.000	0.101	-0.036
9489.000	52926.000	0.119	-0.036
9488.000	52936.000	0.120	-0.036
9487.000	52946.000	0.124	-0.036
9486.000	52956.000	0.178	-0.036
9485.000	52966.000	0.133	-0.036
9484.000	52976.000	0.121	-0.036
9483.000	52986.000	0.090	-0.036
9482.000	52996.000	0.115	-0.036
9481.000	53006.000	0.143	-0.036
9480.000	53016.000	0.140	-0.036
9479.000	53026.000	0.123	-0.036
9478.000	53036.000	0.134	-0.036
9477.000	53046.000	0.097	-0.036
9476.000	53056.000	0.069	-0.036
9475.000	53066.000	0.101	-0.036
9474.000	53076.000	0.082	-0.036
9473.000	53086.000	0.119	-0.036
9472.000	53096.000	0.107	-0.036
9471.000	53106.000	0.095	-0.036
9470.000	53116.000	0.117	-0.036
9469.000	53126.000	0.107	-0.036
9468.000	53136.000	0.091	-0.036
9467.000	53146.000	0.133	-0.036
9466.000	53156.000	0.105	-0.036
9465.000	53166.000	0.122	-0.036
9464.000	53176.000	0.105	-0.036
9463.000	53186.000	0.131	-0.036
9462.000	53196.000	0.105	-0.036
9461.000	53206.000	0.137	-0.036
9460.000	53216.000	0.135	-0.036
9459.000	53226.000	0.155	-0.036
9458.000	53236.000	0.112	-0.036
9457.000	53246.000	0.103	-0.036
9456.000	53256.000	0.093	-0.036
9455.000	53266.000	0.112	-0.036
9454.000	53276.000	0.086	-0.036
9453.000	53286.000	0.088	-0.036
9452.000	53296.000	0.112	-0.036
9451.000	53306.000	0.132	-0.036
9450.000	53316.000	0.095	-0.036
9449.000	53326.000	0.104	-0.036
9448.000	53336.000	0.106	-0.036
9447.000	53346.000	0.115	-0.036
9446.000	53356.000	0.121	-0.036
9445.000	53366.000	0.132	-0.036
9444.000	53376.000	0.133	-0.036
9443.000	53386.000	0.107	-0.036
9442.000	53396.000	0.141	-0.036
9441.000	53406.000	0.106	-0.036
9440.000	53416.000	0.105	-0.036
9439.000	53426.000	0.123	-0.036
9438.000	53436.000	0.095	-0.036
9437.000	53446.000	0.122	-0.036
9436.000	53456.000	0.103	-0.036
9435.000	53466.000	0.097	-0.036
9434.000	53476.000	0.111	-0.036
9433.000	53486.000	0.108	-0.036
9432.000	53496.000	0.116	-0.036
9431.000	53506.000	0.125	-0.036
9430.000	53516.000	0.107	-0.036
9429.000	53526.000	0.119	-0.036
9428.000	53536.000	0.126	-0.036
9427.000	53546.000	0.103	-0.036
9426.000	53556.000	0.109	-0.036
9425.000	53566.000	0.109	-0.036
9424.000	53576.000	0.147	-0.036
9423.000	53586.000	0.123	-0.036
9422.000	53596.000	0.102	-0.036
9421.000	53606.000	0.108	-0.036
9420.000	53616.000	0.120	-0.036
9419.000	53626.000	0.120	-0.036
9418.000	53636.000	0.121	-0.036
9417.000	53646.000	0.152	-0.036
9416.000	53656.000	0.168	-0.036
9415.000	53666.000	0.115	-0.036
9414.000	53676.000	0.079	-0.036
9413.000	53686.000	0.116	-0.036
9412.000	53696.000	0.114	-0.036
9411.000	53706.000	0.106	-0.036
9410.000	53716.000	0.137	-0.036
9409.000	53726.000	0.123	-0.036
9408.000	53736.000	0.138	-0.036
9407.000	53746.000	0.098	-0.036
9406.000	53756.000	0.123	-0.036
9405.000	53766.000	0.128	-0.036
9404.000	53776.000	0.107	-0.036
9403.000	53786.000	0.110	-0.036
9402.000	53796.000	0.119	-0.036
9401.000	53806.000	0.105	-0.036
9400.000	53816.000	0.138	-0.036
9399.000	53826.000	0.092	-0.036
9398.000	53836.000	0.129	-0.036
9397.000	53846.000	0.136	-0.036
9396.000	53856.000	0.099	-0.036
9395.000	53866.000	0.113	-0.036
9394.000	53876.000	0.133	-0.036
9393.000	53886.000	0.089	-0.036
9392.000	53896.000	0.140	-0.036
9391.000	53906.000	0.112	-0.036
9390.000	53916.000	0.156	-0.036
9389.000	53926.000	0.112	-0.036
9388.000	53936.000	0.174	-0.036
9387.000	53946.000	0.105	-0.036
9386.000	53956.000	0.116	-0.036
9385.000	53966.000	0.104	-0.036
9384.000	53976.000	0.137	-0.036
9383.000	53986.000	0.159	-0.036
9382.000	53996.000	0.130	-0.036
9381.000	54006.000	0.168	-0.036
9380.000	54016.000	0.128	-0.036
9379.000	54026.000	0.160	-0.036
9378.000	54036.000	0.144	-0.036
9377.000	54046.000	0.138	-0.036
9376.000	54056.000	0.085	-0.036
9375.000	54066.000	0.134	-0.036
9374.000	54076.000	0.142	-0.036
9373.000	54086.000	0.142	-0.036
9372.000	54096.000	0.145	-0.036
9371.000	54106.000	0.137	-0.036
9370.000	54116.000	0.153	-0.036
9369.000	54126.000	0.128	-0.036
9368.000	54136.000	0.130	-0.036
9367.000	54146.000	0.124	-0.036
9366.000	54156.000	0.127	-0.036
9365.000	54166.000	0.112	-0.036
9364.000	54176.000	0.103	-0.036
9363.000	54186.000	0.103	-0.036
9362.000	54196.000	0.105	-0.036
9361.000	54206.000	0.088	-0.036
9360.000	54216.000	0.109	-0.036
9359.000	54226.000	0.128	-0.036
9358.000	54236.000	0.101	-0.036
9357.000	54246.000	0.109	-0.036
9356.000	54256.000	0.133	-0.036
9355.000	54266.000	0.109	-0.036
9354.000	54276.000	0.110	-0.036
9353.000	54286.000	0.154	-0.036
9352.000	54296.000	0.125	-0.036
9351.000	54306.000	0.130	-0.036
9350.000	54316.000	0.127	-0.036
9349.000	54326.000	0.096	-0.036
9348.000	54336.000	0.113	-0.036
9347.000	54346.000	0.110	-0.036
9346.000	54356.000	0.123	-0.036
9345.000	54366.000	0.154	-0.036
9344.000	54376.000	0.108	-0.036
9343.000	54386.000	0.089	-0.036
9342.000	54396.000	0.108	-0.036
9341.000	54406.000	0.144	-0.036
9340.000	54416.000	0.112	-0.036
9339.000	54426.000	0.097	-0.036
9338.000	54436.000	0.141	-0.036
9337.000	54446.000	0.157	-0.036
9336.000	54456.000	0.115	-0.036
9335.000	54466.000	0.128	-0.036
9334.000	54476.000	0.132	-0.036
9333.000	54486.000	0.155	-0.036
9332.000	54496.000	0.117	-0.036
9331.000	54506.000	0.093	-0.036
9330.000	54516.000	0.181	-0.036
9329.000	54526.000	0.121	-0.036
9328.000	54536.000	0.149	-0.036
9327.000	54546.000	0.119	-0.036
9326.000	54556.000	0.115	-0.036
9325.000	54566.000	0.113	-0.036
9324.000	54576.000	0.117	-0.036
9323.000	54586.000	0.109	-0.036
9322.000	54596.000	0.114	-0.036
9321.000	54606.000	0.141	-0.036
9320.000	54616.000	0.169	-0.036
9319.000	54626.000	0.120	-0.036
9318.000	54636.000	0.146	-0.036
9317.000	54646.000	0.116	-0.036
9316.000	54656.000	0.098	-0.036
9315.000	54666.000	0.099	-0.036
9314.000	54676.000	0.128	-0.036
9313.000	54686.000	0.104	-0.036
9312.000	54696.000	0.120	-0.036
9311.000	54706.000	0.139	-0.036
9310.000	54716.000	0.150	-0.036
9309.000	54726.000	0.111	-0.036
9308.000	54736.000	0.141	-0.036
9307.000	54746.000	0.141	-0.036
9306.000	54756.000	0.117	-0.036
9305.000	54766.000	0.126	-0.036
9304.000	54776.000	0.185	-0.036
9303.000	54786.000	0.128	-0.036
9302.000	54796.000	0.131	-0.036
9301.000	54806.000	0.125	-0.036
9300.000	54816.000	0.115	-0.036
9299.000	54826.000	0.138	-0.036
9298.000	54836.000	0.121	-0.036
9297.000	54846.000	0.143	-0.036
9296.000	54856.000	0.092	-0.036
9295.000	54866.000	0.143	-0.036
9294.000	54876.000	0.120	-0.036
9293.000	54886.000	0.158	-0.036
9292.000	54896.000	0.157	-0.036
9291.000	54906.000	0.123	-0.036
9290.000	54916.000	0.162	-0.036
9289.000	54926.000	0.132	-0.036
9288.000	54936.000	0.142	-0.036
9287.000	54946.000	0.186	-0.036
9286.000	54956.000	0.128	-0.036
9285.000	54966.000	0.112	-0.036
9284.000	54976.000	0.123	-0.036
9283.000	54986.000	0.149	-0.036
9282.000	54996.000	0.099	-0.036
9281.000	55006.000	0.116	-0.036
9280.000	55016.000	0.133	-0.036
9279.000	55026.000	0.145	-0.036
9278.000	55036.000	0.162	-0.036
9277.000	55046.000	0.157	-0.036
9276.000	55056.000	0.117	-0.036
9275.000	55066.000	0.156	-0.036
9274.000	55076.000	0.142	-0.036
9273.000	55086.000	0.145	-0.036
9272.000	55096.000	0.152	-0.036
9271.000	55106.000	0.115	-0.036
9270.000	55116.000	0.127	-0.036
9269.000	55126.000	0.158	-0.036
9268.000	55136.000	0.165	-0.036
9267.000	55146.000	0.108	-0.036
9266.000	55156.000	0.169	-0.036
9265.000	55166.000	0.152	-0.036
9264.000	55176.000	0.102	-0.036
9263.000	55186.000	0.150	-0.036
9262.000	55196.000	0.116	-0.036
9261.000	55206.000	0.121	-0.036
9260.000	55216.000	0.193	-0.036
9259.000	55226.000	0.184	-0.036
9258.000	55236.000	0.144	-0.036
9257.000	55246.000	0.152	-0.036
9256.000	55256.000	0.135	-0.036
9255.000	55266.000	0.146	-0.036
9254.000	55276.000	0.117	-0.036
9253.000	55286.000	0.096	-0.036
9252.000	55296.000	0.157	-0.036
9251.000	55306.000	0.135	-0.036
9250.000	55316.000	0.163	-0.036
9249.000	55326.000	0.114	-0.036
9248.000	55336.000	0.136	-0.036
9247.000	55346.000	0.165	-0.036
9246.000	55356.000	0.108	-0.036
9245.000	55366.000	0.149	-0.036
9244.000	55376.000	0.138	-0.036
9243.000	55386.000	0.167	-0.036
9242.000	55396.000	0.091	-0.036
9241.000	55406.000	0.178	-0.036
9240.000	55416.000	0.118	-0.036
9239.000	55426.000	0.134	-0.036
9238.000	55436.000	0.126	-0.036
9237.000	55446.000	0.155	-0.036
9236.000	55456.000	0.114	-0.036
9235.000	55466.000	0.145	-0.036
9234.000	55476.000	0.155	-0.036
9233.000	55486.000	0.140	-0.036
9232.000	55496.000	0.173	-0.036
9231.000	55506.000	0.154	-0.036
9230.000	55516.000	0.162	-0.036
9229.000	55526.000	0.178	-0.036
9228.000	55536.000	0.120	-0.036
9227.000	55546.000	0.128	-0.036
9226.000	55556.000	0.144	-0.036
9225.000	55566.000	0.134	-0.036
9224.000	55576.000	0.157	-0.036
9223.000	55586.000	0.169	-0.036
9222.000	55596.000	0.127	-0.036
9221.000	55606.000	0.150	-0.036
9220.000	55616.000	0.139	-0.036
9219.000	55626.000	0.152	-0.036
9218.000	55636.000	0.150	-0.036
9217.000	55646.000	0.133	-0.036
9216.000	55656.000	0.133	-0.036
9215.000	55666.000	0.127	-0.036
9214.000	55676.000	0.180	-0.036
9213.000	55686.000	0.132	-0.036
9212.000	55696.000	0.131	-0.036
9211.000	55706.000	0.192	-0.036
9210.000	55716.000	0.156	-0.036
9209.000	55726.000	0.140	-0.036
9208.000	55736.000	0.134	-0.036
9207.000	55746.000	0.112	-0.036
9206.000	55756.000	0.129	-0.036
9205.000	55766.000	0.163	-0.036
9204.000	55776.000	0.112	-0.036
9203.000	55786.000	0.124	-0.036
9202.000	55796.000	0.172	-0.036
9201.000	55806.000	0.162	-0.036
9200.000	55816.000	0.168	-0.036
9199.000	55826.000	0.145	-0.036
9198.000	55836.000	0.120	-0.036
9197.000	55846.000	0.185	-0.036
9196.000	55856.000	0.160	-0.036
9195.000	55866.000	0.168	-0.036
9194.000	55876.000	0.139	-0.036
9193.000	55886.000	0.156	-0.036
9192.000	55896.000	0.130	-0.036
9191.000	55906.000	0.165	-0.036
9190.000	55916.000	0.145	-0.036
9189.000	55926.000	0.162	-0.036
9188.000	55936.000	0.164	-0.036
9187.000	55946.000	0.142	-0.036
9186.000	55956.000	0.148	-0.036
9185.000	55966.000	0.135	-0.036
9184.000	55976.000	0.140	-0.036
9183.000	55986.000	0.159	-0.036
9182.000	55996.000	0.174	-0.036
9181.000	56006.000	0.163	-0.036
9180.000	56016.000	0.157	-0.036
9179.000	56026.000	0.127	-0.036
9178.000	56036.000	0.137	-0.036
9177.000	56046.000	0.174	-0.036
9176.000	56056.000	0.142	-0.036
9175.000	56066.000	0.138	-0.036
9174.000	56076.000	0.152	-0.036
9173.000	56086.000	0.146	-0.036
9172.000	56096.000	0.133	-0.036
9171.000	56106.000	0.117	-0.036
9170.000	56116.000	0.180	-0.036
9169.000	56126.000	0.137	-0.036
9168.000	56136.000	0.127	-0.036
9167.000	56146.000	0.130	-0.036
9166.000	56156.000	0.159	-0.036
9165.000	56166.000	0.169	-0.036
9164.000	56176.000	0.159	-0.036
9163.000	56186.000	0.139	-0.036
9162.000	56196.000	0.139	-0.036
9161.000	56206.000	0.142	-0.036
9160.000	56216.000	0.115	-0.036
9159.000	56226.000	0.172	-0.036
9158.000	56236.000	0.163	-0.036
9157.000	56246.000	0.150	-0.036
9156.000	56256.000	0.155	-0.036
9155.000	56266.000	0.177	-0.036
9154.000	56276.000	0.125	-0.036
9153.000	56286.000	0.149	-0.036
9152.000	56296.000	0.137	-0.036
9151.000	56306.000	0.157	-0.036
9150.000	56316.000	0.157	-0.036
9149.000	56326.000	0.168	-0.036
9148.000	56336.000	0.127	-0.036
9147.000	56346.000	0.177	-0.036
9146.000	56356.000	0.164	-0.036
9145.000	56366.000	0.115	-0.036
9144.000	56376.000	0.172	-0.036
9143.000	56386.000	0.164	-0.036
9142.000	56396.000	0.129	-0.036
9141.000	56406.000	0.133	-0.036
9140.000	56416.000	0.133	-0.036
9139.000	56426.000	0.172	-0.036
9138.000	56436.000	0.120	-0.036
9137.000	56446.000	0.114	-0.036
9136.000	56456.000	0.149	-0.036
9135.000	56466.000	0.161	-0.036
9134.000	56476.000	0.134	-0.036
9133.000	56486.000	0.109	-0.036
9132.000	56496.000	0.114	-0.036
9131.000	56506.000	0.156	-0.036
9130.000	56516.000	0.139	-0.036
9129.000	56526.000	0.157	-0.036
9128.000	56536.000	0.144	-0.036
9127.000	56546.000	0.120	-0.036
9126.000	56556.000	0.136	-0.036
9125.000	56566.000	0.117	-0.036
9124.000	56576.000	0.105	-0.036
9123.000	56586.000	0.110	-0.036
9122.000	56596.000	0.143	-0.036
9121.000	56606.000	0.145	-0.036
9120.000	56616.000	0.114	-0.036
9119.000	56626.000	0.116	-0.036
9118.000	56636.000	0.133	-0.036
9117.000	56646.000	0.164	-0.036
9116.000	56656.000	0.149	-0.036
9115.000	56666.000	0.160	-0.036
9114.000	56676.000	0.149	-0.036
9113.000	56686.000	0.100	-0.036
9112.000	56696.000	0.124	-0.036
9111.000	56706.000	0.159	-0.036
9110.000	56716.000	0.148	-0.036
9109.000	56726.000	0.145	-0.036
9108.000	56736.000	0.159	-0.036
9107.000	56746.000	0.160	-0.036
9106.000	56756.000	0.161	-0.036
9105.000	56766.000	0.165	-0.036
9104.000	56776.000	0.148	-0.036
9103.000	56786.000	0.139	-0.036
9102.000	56796.000	0.132	-0.036
9101.000	56806.000	0.140	-0.036
9100.000	56816.000	0.163	-0.036
9099.000	56826.000	0.154	-0.036
9098.000	56836.000	0.124	-0.036
9097.000	56846.000	0.126	-0.036
9096.000	56856.000	0.141	-0.036
9095.000	56866.000	0.163	-0.036
9094.000	56876.000	0.193	-0.036
9093.000	56886.000	0.168	-0.036
9092.000	56896.000	0.139	-0.036
9091.000	56906.000	0.145	-0.036
9090.000	56916.000	0.134	-0.036
9089.000	56926.000	0.133	-0.036
9088.000	56936.000	0.136	-0.036
9087.000	56946.000	0.114	-0.036
9086.000	56956.000	0.134	-0.036
9085.000	56966.000	0.171	-0.036
9084.000	56976.000	0.150	-0.036
9083.000	56986.000	0.146	-0.036
9082.000	56996.000	0.135	-0.036
9081.000	57006.000	0.153	-0.036
9080.000	57016.000	0.193	-0.036
9079.000	57026.000	0.124	-0.036
9078.000	57036.000	0.132	-0.036
9077.000	57046.000	0.122	-0.036
9076.000	57056.000	0.134	-0.036
9075.000	57066.000	0.136	-0.036
9074.000	57076.000	0.115	-0.036
9073.000	57086.000	0.139	-0.036
9072.000	57096.000	0.132	-0.036
9071.000	57106.000	0.154	-0.036
9070.000	57116.000	0.148	-0.036
9069.000	57126.000	0.136	-0.036
9068.000	57136.000	0.220	-0.036
9067.000	57146.000	0.164	-0.036
9066.000	57156.000	0.155	-0.036
9065.000	57166.000	0.159	-0.036
9064.000	57176.000	0.163	-0.036
9063.000	57186.000	0.179	-0.036
9062.000	57196.000	0.192	-0.036
9061.000	57206.000	0.140	-0.036
9060.000	57216.000	0.160	-0.036
9059.000	57226.000	0.135	-0.036
9058.000	57236.000	0.172	-0.036
9057.000	57246.000	0.135	-0.036
9056.000	57256.000	0.113	-0.036
9055.000	57266.000	0.153	-0.036
9054.000	57276.000	0.156	-0.036
9053.000	57286.000	0.134	-0.036
9052.000	57296.000	0.186	-0.036
9051.000	57306.000	0.143	-0.036
9050.000	57316.000	0.171	-0.036
9049.000	57326.000	0.127	-0.036
9048.000	57336.000	0.159	-0.036
9047.000	57346.000	0.173	-0.036
9046.000	57356.000	0.126	-0.036
9045.000	57366.000	0.182	-0.036
9044.000	57376.000	0.107	-0.036
9043.000	57386.000	0.136	-0.036
9042.000	57396.000	0.171	-0.036
9041.000	57406.000	0.157	-0.036
9040.000	57416.000	0.119	-0.036
9039.000	57426.000	0.119	-0.036
9038.000	57436.000	0.152	-0.036
9037.000	57446.000	0.133	-0.036
9036.000	57456.000	0.131	-0.036
9035.000	57466.000	0.132	-0.036
9034.000	57476.000	0.146	-0.036
9033.000	57486.000	0.117	-0.036
9032.000	57496.000	0.194	-0.036
9031.000	57506.000	0.133	-0.036
9030.000	57516.000	0.160	-0.036
9029.000	57526.000	0.115	-0.036
9028.000	57536.000	0.146	-0.036
9027.000	57546.000	0.201	-0.036
9026.000	57556.000	0.175	-0.036
9025.000	57566.000	0.130	-0.036
9024.000	57576.000	0.151	-0.036
9023.000	57586.000	0.144	-0.036
9022.000	57596.000	0.129	-0.036
9021.000	57606.000	0.149	-0.036
9020.000	57616.000	0.110	-0.036
9019.000	57626.000	0.113	-0.036
9018.000	57636.000	0.144	-0.036
9017.000	57646.000	0.135	-0.036
